artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle1-vel25,candidate_pass,1.0,-1.3267082870505549,1.3267082870505549,0.0,decreasing,C,72.581,50000,20000,2,0.654,628.782931,0.3153350725454118,0.2340350460651902,0.549370118610602,increasing,2,151,0,20000,pass,0.05,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed1-settle1-vel25,candidate_pass,1.0,-0.6768360357304336,0.6768360357304336,0.0,decreasing,C,72.581,50000,20000,2,0.654,576.160232,0.19046358373593786,0.4658748366700436,0.6563384204059814,increasing,2,151,1,20000,pass,0.25,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed2-settle1-vel25,candidate_pass,1.0,-0.8138281107151133,0.8138281107151133,0.0,decreasing,C,72.581,50000,20000,2,0.654,567.845049,0.038171576934761586,0.6707530828627776,0.7089246597975392,increasing,2,151,2,20000,pass,0.75,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed3-settle1-vel25,candidate_pass,1.0,-1.220009810787557,1.220009810787557,0.0,decreasing,C,72.581,50000,20000,2,0.654,545.872753,0.2595176027707788,0.36030556310636347,0.6198231658771423,increasing,2,151,3,20000,pass,0.05,2e-10,25.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed4-settle1-vel25,candidate_pass,1.0,-1.6666351755235729,1.6666351755235729,0.0,decreasing,C,72.581,50000,20000,2,0.654,573.499115,0.12583132285783893,0.4972873434316575,0.6231186662894964,increasing,2,151,4,20000,pass,0.05,2e-10,25.0,2,pass
