order,i,j,contact_type,normal_force_n,contact_radius_um,electrical_resistance_ohm,electrical_conductance_s,is_bottleneck
0,95,41,Al-Al,0.00421840554,1.4508840753800303,0.009132362967406217,109.50068493434192,True
1,41,36,Al-Al,0.005227230530000001,1.5583816377877278,0.008502410243237751,117.61370851228135,False
2,27,36,Al-Al,0.00457817567,1.4910106840256432,0.008886589574412546,112.52910822835044,False
3,27,33,Al-Al,0.004704058860000001,1.5045531011951556,0.008806601767311994,113.55117744869099,False
