% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 13 2026, 16:45"
% Dimension,2
% Nodes,1735
% Expressions,6
% Description,"温度, 温度, 电流密度模, 体积损耗密度，电磁, 插值, 插值"
% Length unit,µm
% x,y,V (V),T (K),ec.normJ (A/m^2),ec.Qh (W/m^3),sigma_map(x;y) (S/m),k_map(x;y) (W/(m*K))
5.186259706787365,5.426382487173998,0.0021654298486947984,293.19653378986703,5811580.556948091,1.8636060393957171E9,18123.367360774475,33.83706453394571
0,8.02686669230769,0.002981040182308188,293.21539487146237,3808359.8617568607,1.0512725321277367E9,13800.944698922445,30.344197736499485
0,0,0,293.15,3604452.98438483,1.7284745331566863E9,7517.71117749,25.2668373151
8.000000000000005,0,0,293.15,6789171.417627495,3.198494345366857E9,14411.321621100004,30.837431613000007
5.938915658854948,12.072654868809938,0.003999724754757566,293.24254341707706,6380471.342788871,1.5105980161210299E9,26952.358945547076,40.97160318832355
0,16.05373338461538,0.004944640882801833,293.2662539693891,4196820.193667459,9.062023445699944E8,19438.09933703533,34.899474211806634
16.00000000000001,0,0,293.15,9545476.40759577,4.288225454911669E9,21248.014781000005,36.362032146260006
11.992382875081873,7.0323908747523625,0.0025971424168603446,293.20902977214377,8389419.277484575,2.3766761473110647E9,29620.29978772573,43.1275149799621
6.232368637569322,19.99334721429732,0.005752515742945102,293.2881538976406,7060954.430383165,1.4800267883748248E9,33687.61444840578,46.4142338976743
0,24.08060007692307,0.006646074325934294,293.3099031601874,4617572.565481243,9.642933761133977E8,22111.815670329528,37.060053066959064
20.293026314858164,6.458845537494772,0.0023295365279518,293.204758816861,1.0684643022540815E7,3.0359840199009852E9,37605.23438035822,49.579987378095126
24.000000000000018,0,0,293.15,1.1169568585475782E7,4.826521480730237E9,25848.72511396001,40.07977786994001
12.227913066815365,15.895463929317732,0.004786664564127865,293.265083307675,9019207.390551215,1.95437486126122E9,41629.87325152613,52.83222080930134
17.909591394349174,12.354629053811198,0.003886716196558978,293.2437732961263,1.0420568513136487E7,2.4045394816119967E9,45160.39351994676,55.685166480734004
6.403027924054784,27.957076102359533,0.007436955856339598,293.32970684795697,7659466.083461463,1.6440614269975498E9,35684.66549940838,48.02801252477258
0,32.10746676923076,0.008369789324505559,293.3506585638114,4936441.634180002,1.087508165505965E9,22407.61655254594,37.29908408288445
28.18673843817782,6.499489998111091,0.002255945354606877,293.20459569839704,1.1719229588329552E7,3.1856307511393733E9,43115.26240171946,54.03253527407878
31.99999999999998,0,0,293.15,1.2117477511208115E7,5.07287060965809E9,28944.809034659993,42.58166386639999
12.824355175690831,23.900554923758232,0.006483433187969398,293.30823648501104,9895612.20420445,2.0984569255465772E9,46665.60641599013,56.90150013411108
24.508192909026207,12.959739535262415,0.0038998685903214466,293.24631451054717,1.1472056630219294E7,2.5212528316092744E9,52200.94606850127,61.374501873560924
20.024894971644326,19.71192060314356,0.005443642642832453,293.28468314559996,1.1345210938885821E7,2.372569796604262E9,54252.432615767335,63.032268780481346
6.43752006579382,36.02918676995293,0.00922467253397783,293.36989057737225,8134930.824792792,1.853984711193039E9,35694.60912762178,48.03604777989904
0,40.13433346153845,0.010197926747021828,293.3896700296286,5184197.219390467,1.2179435760790107E9,22066.63437150866,37.023542926470014
36.079036183708666,6.518038130995055,0.0021964413012173184,293.20435120204024,1.2543520011621661E7,3.2810689637792263E9,47956.81739001565,57.9449029414232
39.999999999999986,0,0,293.15,1.2985390137348143E7,5.33804992716706E9,31588.387443699994,44.7178888434
12.826180457785403,31.964821123238274,0.00823794468030709,293.34941894389,1.055262768985015E7,2.3665427640049033E9,47055.133389051596,57.216269405244226
32.24754597945243,13.062228920793599,0.0037813076683133897,293.2454866452906,1.216780971923141E7,2.543546647933417E9,58209.25001460041,66.22969698151843
19.22500064229744,27.88531255792267,0.0072051211522303924,293.32750808418365,1.1820080379443089E7,2.6060437523811345E9,53611.94367593002,62.51470196031604
28.396483729661323,19.67812201097979,0.0052179850443813194,293.28201612324216,1.2046065950652592E7,2.4302969364052906E9,59708.223060591496,67.44098833181937
25.094538290625593,25.343325225123557,0.006488689723257221,293.3125368175193,1.2175104350208929E7,2.6253110417117124E9,56463.140362583756,64.81869928287632
6.4253962786353656,44.079793981717316,0.011121419770699232,293.4082315809688,8420960.29514973,2.048537817551443E9,34616.40084411696,47.16476835888429
0,48.16120015384614,0.012147788091424845,293.426813509584,5423466.748290412,1.360793052862785E9,21615.441671847962,36.65894276512454
44.06386554488637,6.509263783674769,0.0021636885751534483,293.2043306390405,1.3245149115544945E7,3.3929206440576434E9,51709.28705894252,60.9772016638101
47.999999999999986,0,0,293.15,1.3447565453425618E7,5.525062064588255E9,32730.348524340003,45.640685676260006
12.850945117364668,40.01229514733019,0.010098119390561914,293.38901497744564,1.0963863515985051E7,2.6140906806752343E9,45984.1538146084,56.35083136533883
40.16879030761144,13.050955492788795,0.0036784989544069034,293.2445192945234,1.2780740460323563E7,2.5591908130942607E9,63828.42972435912,70.77044826208014
19.216233821510862,36.004501238106116,0.009064045524997073,293.3689111047438,1.2304701546316812E7,2.9349625195682416E9,51587.42610493831,60.878728165593124
36.256775150526806,19.695754646533068,0.0050323367563258154,293.27987936628006,1.2244960855553618E7,2.3401086235738907E9,64073.67385905483,70.96862534063204
25.5806020865615,32.14599617307708,0.008003168766222528,293.34781370900697,1.238809529213919E7,2.9595949858763022E9,51853.801565052425,61.09398106261204
32.246955076692615,27.295763135022547,0.006683975600357509,293.32004874048556,1.18765504240729E7,2.6093511352670784E9,54059.520739293665,62.876380395388665
