% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 13 2026, 16:44"
% Dimension,2
% Nodes,809
% Expressions,6
% Description,"温度, 温度, 电流密度模, 体积损耗密度，电磁, 插值, 插值"
% Length unit,µm
% x,y,V (V),T (K),ec.normJ (A/m^2),ec.Qh (W/m^3),sigma_map(x;y) (S/m),k_map(x;y) (W/(m*K))
7.576708135433149,7.876504314349015,0.002885603007046263,293.21481015755205,6760519.157412445,1.8532076430866504E9,24662.934135318006,39.12156293763251
0,11.594362999999994,0.003912895374994913,293.2392557152124,3856226.095684305,8.998847587305602E8,16545.694438790517,32.562177324292335
0,0,0,293.15,3480700.5026585436,1.6122268999886165E9,7517.71117749,25.2668373151
11.764705882352851,0,0,293.15,7970530.428477131,3.5719072841485524E9,17787.706164005805,33.56582316279994
8.491698311397045,17.58807552711097,0.005206981368706252,293.2747990351208,7704679.063376021,1.627537247148508E9,36479.2739672613,48.67012037757065
0,23.18872599999999,0.0064520523768698615,293.3051322808959,4524264.273973801,9.337190068461798E8,21924.778858273654,36.90891220873898
17.672165169218754,10.283991116625396,0.003384761317184869,293.23085017582326,9902477.11416221,2.332397092585988E9,42084.93798753368,53.19994988889914
23.52941176470584,0,0,293.15,1.072257153144803E7,4.48708506298434E9,25623.218909141156,39.89755063372351
9.188586926142062,28.94248706816555,0.007612586462206818,293.33440837564746,8937213.720652891,1.9321123617427387E9,41341.14939103823,52.598908598801934
0,34.783088999999975,0.008957335696253739,293.3637034001023,5009331.516291619,1.123499879537636E9,22335.0877116,37.2404749185
18.18134927664001,23.104984279296836,0.0061945429890734385,293.30290497836194,1.1087494913416978E7,2.325253576429402E9,52883.64698164761,61.926179379116185
26.37561510013547,18.0277090309971,0.004927249575150909,293.27384423445125,1.1727801172936678E7,2.3789159823018446E9,57819.85241605644,65.9150322554371
29.91708694596767,9.442703115342978,0.002993645154197203,293.2241384659585,1.1688755856126258E7,2.686631686758275E9,50870.26841790293,60.2992068023166
35.29411764705874,0,0,293.15,1.209628146195419E7,4.860188986968819E9,30105.830379323506,43.51986293281175
9.504691541561177,40.42576763777785,0.01021372254339141,293.3908679760895,9744196.532093016,2.3041713110373616E9,41208.76178019877,52.49192871125934
0,46.37745199999998,0.011692415760066362,293.41856230866046,5371632.455578073,1.329780776305725E9,21699.34413320157,36.72674273386794
18.953782427254133,34.5642799648077,0.008719199714970918,293.36152704473733,1.218793850247757E7,2.8609755094109297E9,51922.30260724387,61.1493354401723
29.443139013111598,28.568952115394342,0.007047208358301042,293.32758324302677,1.2036802111762038E7,2.7234557623924727E9,53208.32479461457,62.18854528859937
35.967301946306065,18.768875741954986,0.004852428786776593,293.2751111172316,1.2000676195600426E7,2.2551070237550445E9,63863.77934260111,70.79901361017288
41.40485274589948,9.483185662862482,0.002897736417363125,293.2236887816876,1.2651123157993115E7,2.7344746724428782E9,58546.57487597009,66.50228272801338
47.05882352941172,0,0,293.15,1.2977360486559326E7,5.151369453283877E9,32692.69320275882,45.610257133558825
9.511478968629538,52.04791259092923,0.013095608167495219,293.4441192785079,9948833.697264438,2.5776804181479573E9,38400.29125422467,50.22245757922022
0,57.97181499999998,0.014634981777536771,293.46832115746355,5650626.000765104,1.4504436904731436E9,22014.509194503727,36.98142157133635
9.532796946634432,63.67847958131762,0.01607024650050434,293.490578512386,9876241.669714045,2.450571214786186E9,39804.44923022454,51.35713069102814
0,69.56617799999997,0.017446768314860923,293.50917030052983,5520813.424618709,1.2486505222686994E9,24410.38546899999,38.917483207299995
18.960697442290453,46.19922497467949,0.01158076393281312,293.41860530966255,1.2180279047575632E7,3.1277424119446793E9,47435.86623709532,57.523932312812235
28.347189247081282,40.29702462448424,0.010013722250656007,293.39040007067774,1.1998095235360576E7,3.291483881457331E9,43742.120948461925,54.53908763511239
36.824053479895255,36.92761314043732,0.00897081037643231,293.37199267759416,1.102477971246393E7,3.2325116843781395E9,37612.59888908127,49.58593849625572
41.71152448790222,28.777689972927554,0.006768288234902162,293.32547536958265,1.1210687820471084E7,2.5066831177136197E9,50152.81744695077,59.71944844199572
47.29595744134465,19.152029817904793,0.004807828280691223,293.27629456518736,1.2405646291010464E7,2.217542056080384E9,69401.70858861355,75.27410795040669
