x_um,y_um,contact_factor,electrical_contact_factor,thermal_contact_factor,sigma_s_m,k_w_mk
0.0,0.0,0.006853172216312689,0.006853172216312689,0.05062401877622427,784.6319044096376,24.04992150209794
5.0,0.0,0.010989664679873591,0.010989664679873591,0.08234928387646383,1197.8675015193717,26.587942710117105
10.0,0.0,0.015374384309113335,0.015374384309113335,0.1179852172833997,1635.9009924804222,29.438817382671978
15.0,0.0,0.018929512519130356,0.018929512519130356,0.15097794002752507,1991.0583006611225,32.07823520220201
20.0,0.0,0.02089059708741106,0.02089059708741106,0.17662078939003523,2186.970649032365,34.12966315120282
25.0,0.0,0.021342128744914767,0.021342128744914767,0.1950711092163383,2232.0786616169853,35.60568873730706
30.0,0.0,0.02107361795608157,0.02107361795608157,0.20992396194733232,2205.254433812549,36.793916955786585
35.0,0.0,0.020866702756860363,0.020866702756860363,0.22364624321929555,2184.58360541035,37.891699457543645
40.0,0.0,0.020982165380867824,0.020982165380867824,0.23505799350948928,2196.118321548696,38.80463948075914
45.0,0.0,0.021287535163240764,0.021287535163240764,0.24124513099613393,2226.624762807752,39.29961047969071
50.0,0.0,0.02160505315095179,0.02160505315095179,0.24064351990853008,2258.344809780084,39.25148159268241
55.0,0.0,0.021768528507632376,0.021768528507632376,0.23379686225499272,2274.6759979124745,38.70374898039942
60.0,0.0,0.021550154545158004,0.021550154545158004,0.22265780513802186,2252.8604390612845,37.81262441104175
65.0,0.0,0.020806158530487992,0.020806158530487992,0.21043778693291057,2178.5352371957506,36.83502295463285
70.0,0.0,0.01967334979523007,0.01967334979523007,0.20114848923566356,2065.367644543484,36.09187913885309
75.0,0.0,0.018498268982866304,0.018498268982866304,0.19766517713479403,1947.9770713883438,35.813214170783525
80.0,0.0,0.017629953924554857,0.017629953924554857,0.2000388719046369,1861.2323970630302,36.00310975237095
85.0,0.0,0.01733259751102168,0.01733259751102168,0.2059205785219927,1831.526491351066,36.473646281759414
90.0,0.0,0.017729424421740723,0.017729424421740723,0.21203137258685706,1871.1694997318982,36.96250980694856
95.0,0.0,0.018690158342761453,0.018690158342761453,0.21522362804204492,1967.146818441869,37.2178902433636
100.0,0.0,0.019897183765744304,0.019897183765744304,0.2137659529751098,2087.728658197856,37.101276238008786
105.0,0.0,0.021138646367946674,0.021138646367946674,0.2088391267715836,2211.7507721578727,36.70713014172669
110.0,0.0,0.022374328969215256,0.022374328969215256,0.20379351001802568,2335.195464024604,36.30348080144205
115.0,0.0,0.023344868009954108,0.023344868009954108,0.200463367543281,2432.1523141944153,36.03706940346248
120.0,0.0,0.023288638954984092,0.023288638954984092,0.19654131162959662,2426.5350316029107,35.72330493036773
125.0,0.0,0.021368987269059826,0.021368987269059826,0.18766572804505757,2234.7618281790765,35.013258243604604
130.0,0.0,0.017473719514789595,0.017473719514789595,0.17172335118003662,1845.6245795274806,33.73786809440293
135.0,0.0,0.012482992429642249,0.012482992429642249,0.15005574359541476,1347.0509437212606,32.004459487633184
140.0,0.0,0.007707126911962843,0.007707126911962843,0.12502061236168652,869.941978505088,30.00164898893492
145.0,0.0,0.004089778002978594,0.004089778002978594,0.09810849010324553,508.5688224975615,27.848679208259643
150.0,0.0,0.001859732706211892,0.001859732706211892,0.07078454481925603,285.787297350568,25.662763585540482
155.0,0.0,0.0007233046784482375,0.0007233046784482375,0.04568932198645381,172.25813737697894,23.655145758916305
160.0,0.0,0.00024025347895243571,0.00024025347895243571,0.025815828972650556,124.00132254734832,22.065266317812046
165.0,0.0,6.818598953248556e-05,6.818598953248556e-05,0.01268058156181961,106.81178035429531,21.01444652494557
170.0,0.0,1.732445759043386e-05,1.732445759043386e-05,0.005762775137710363,101.73071331328434,20.46102201101683
175.0,0.0,8.111161092581853e-06,8.111161092581853e-06,0.0036012776009485595,100.81030499314893,20.288102208075884
180.0,0.0,2.1418134211328358e-05,2.1418134211328358e-05,0.005189162095905039,102.1396716077117,20.415132967672402
185.0,0.0,7.799796740162756e-05,7.799796740162756e-05,0.010444335066433184,107.79199694342259,20.835546805314653
190.0,0.0,0.00024901703244146865,0.00024901703244146865,0.01959189326841396,124.87680154090272,21.567351461473116
195.0,0.0,0.000681640886999081,0.000681640886999081,0.032177872048973,168.0959246112082,22.57422976391784
200.0,0.0,0.0016011399874463832,0.0016011399874463832,0.04676081200923425,259.9538847458937,23.74086496073874
205.0,0.0,0.0032312773842161227,0.0032312773842161227,0.06167827731454425,422.8046106831907,24.93426218516354
210.0,0.0,0.00560664004323167,0.00560664004323167,0.07591004372106035,660.1033403188438,26.072803497684827
215.0,0.0,0.00836975213735431,0.00836975213735431,0.08873300006627474,936.1382385216955,27.09864000530198
220.0,0.0,0.010771013099930072,0.010771013099930072,0.09865578709105981,1176.0242086830142,27.892462967284786
225.0,0.0,0.012021931227166143,0.012021931227166143,0.10372031153590595,1300.9909295938976,28.297624922872476
230.0,0.0,0.011820101904340638,0.011820101904340638,0.10367911523929749,1280.8281802436297,28.294329219143798
