% x_um y_um sigma_s_m k_w_mk
0 0 784.63190441 24.0499215021
5 0 1197.86750152 26.5879427101
10 0 1635.90099248 29.4388173827
15 0 1991.05830066 32.0782352022
20 0 2186.97064903 34.1296631512
25 0 2232.07866162 35.6056887373
30 0 2205.25443381 36.7939169558
35 0 2184.58360541 37.8916994575
40 0 2196.11832155 38.8046394808
45 0 2226.62476281 39.2996104797
50 0 2258.34480978 39.2514815927
55 0 2274.67599791 38.7037489804
60 0 2252.86043906 37.812624411
65 0 2178.5352372 36.8350229546
70 0 2065.36764454 36.0918791389
75 0 1947.97707139 35.8132141708
80 0 1861.23239706 36.0031097524
85 0 1831.52649135 36.4736462818
90 0 1871.16949973 36.9625098069
95 0 1967.14681844 37.2178902434
100 0 2087.7286582 37.101276238
105 0 2211.75077216 36.7071301417
110 0 2335.19546402 36.3034808014
115 0 2432.15231419 36.0370694035
120 0 2426.5350316 35.7233049304
125 0 2234.76182818 35.0132582436
130 0 1845.62457953 33.7378680944
135 0 1347.05094372 32.0044594876
140 0 869.941978505 30.0016489889
145 0 508.568822498 27.8486792083
150 0 285.787297351 25.6627635855
155 0 172.258137377 23.6551457589
160 0 124.001322547 22.0652663178
165 0 106.811780354 21.0144465249
170 0 101.730713313 20.461022011
175 0 100.810304993 20.2881022081
180 0 102.139671608 20.4151329677
185 0 107.791996943 20.8355468053
190 0 124.876801541 21.5673514615
195 0 168.095924611 22.5742297639
200 0 259.953884746 23.7408649607
205 0 422.804610683 24.9342621852
210 0 660.103340319 26.0728034977
215 0 936.138238522 27.0986400053
220 0 1176.02420868 27.8924629673
225 0 1300.99092959 28.2976249229
230 0 1280.82818024 28.2943292191
235 0 1156.54434281 28.1176997331
240 0 1005.35892959 28.1263184716
245 0 878.566174395 28.5244196511
250 0 773.00414373 29.2086615401
255 0 658.316981189 29.8451862172
260 0 522.202534757 30.0727838064
265 0 386.637780952 29.7118680053
270 0 290.488265575 28.8927422733
275 0 267.090606602 28.0016213042
280 0 335.791077603 27.4413401317
285 0 501.721719943 27.4001576144
290 0 754.494764956 27.8279889522
295 0 1069.91477063 28.5928535639
300 0 1421.55314029 29.6330741831
305 0 1794.90945012 30.9851484414
310 0 2188.00009805 32.6992878742
315 0 2593.1693689 34.7114854473
320 0 2974.36104897 36.7491587071
325 0 3263.79014085 38.3575549707
330 0 3390.50678404 39.0913554368
335 0 3323.00750697 38.7699836449
340 0 3088.81444518 37.589520733
345 0 2755.581174 36.0004693299
350 0 2397.20725783 34.4806958525
355 0 2074.36864746 33.3776903499
360 0 1829.93254274 32.8489074623
365 0 1679.88781415 32.8218624731
370 0 1596.37151013 32.9563992297
375 0 1508.84492437 32.7152334061
380 0 1344.85113755 31.6245700755
385 0 1084.84741709 29.5906264524
