stage_id,i,j,x_um,y_um,normal_force_n,material_i,material_j,contact_type,reduced_radius_um,reduced_modulus_gpa,contact_radius_um,contact_radius_fraction,hertz_warning,electrical_resistance_ohm,electrical_conductance_s,thermal_constriction_resistance_k_w,thermal_interface_resistance_k_w,thermal_resistance_k_w,thermal_conductance_w_k,al_al_resistance_multiplier
stage5_rho095,56,28,311.529,34.4809,0.17145864600000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.988497218210108,0.38373055524693145,True,0.002656110531971821,376.4903560913289,422.91386545208513,0.0,422.91386545208513,0.0023645476814315915,1.0
stage5_rho095,47,26,334.789,18.4236,0.18145408100000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.083609521983976,0.39104688630645973,True,0.0026064157647633277,383.668643168602,415.00131594034355,0.0,415.00131594034355,0.0024096309134204047,1.0
stage5_rho095,47,57,339.96,25.7226,0.21325625800000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.364762897973068,0.41267406907485144,True,0.0024698202421967533,404.88776588475986,393.25216817080695,0.0,393.25216817080695,0.0025428976136392346,1.0
stage5_rho095,47,28,322.818,36.286,0.24586009500000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.62530342297967,0.4327156479215131,True,0.0023554284993540136,424.5512017343147,375.0383726381679,0.0,375.0383726381679,0.0026663938224923637,1.0
stage5_rho095,47,75,335.086,37.1232,0.22576214700000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.467645051619839,0.4205880808938338,True,0.0024233467745084455,412.6524567260256,385.8525236061532,0.0,385.8525236061532,0.002591663754467804,1.0
stage5_rho095,26,57,345.323,16.1043,0.528562249,Al,Al,Al-Al,6.500000000000001,6.733251038042868,7.2602011217684055,0.5584770093668004,True,0.001825018312546778,547.9397073032759,290.58487581351454,0.0,290.58487581351454,0.003441335331718224,1.0
stage5_rho095,57,69,358.393,16.1018,0.21749299500000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.400057228173302,0.41538901755179247,True,0.002453677700093954,407.5514889187397,390.68190432194154,0.0,390.68190432194154,0.0025596271261541454,1.0
stage5_rho095,57,13,359.798,29.5527,0.602107092,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,6.659456421114869,0.5122658785472975,True,3.75406015432934e+17,2.6637825684459476e-18,186.2070156249621,89.71861852439505,275.92563414935717,0.0036241649061815873,1.0
stage5_rho095,57,75,345.62,34.804,0.030163291300000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,2.7951782858854077,0.21501371429887753,False,0.004740305857020815,210.95685176493643,754.7656806019926,0.0,754.7656806019926,0.0013249145075096833,1.0
stage5_rho095,69,13,370.045,20.0804,0.281083462,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,5.166058245498029,0.39738909580754067,True,4.839279545829027e+17,2.0664232981992113e-18,240.03552552682183,149.0876068602943,389.12313238711613,0.0025698806284411737,1.0
stage5_rho095,69,59,377.722,9.43015,0.125326865,Al,Al,Al-Al,6.500000000000001,6.733251038042868,4.493637100059906,0.34566439231230045,True,0.0029486137186786536,339.14242264603064,469.48709795058573,0.0,469.48709795058573,0.0021299839854283954,1.0
stage5_rho095,13,59,384.873,20.8975,0.375321353,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,5.6887296047831795,0.4375945849833215,True,4.39465429662531e+17,2.2754918419132715e-18,217.9814461242184,122.95028997332925,340.9317360975476,0.002933138497009499,1.0
