artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed0,needs_d1_decrease,0.6666666666666666,0.5764016592022418,0.0,0.5764016592022418,increasing,D,32.737,2,0.539,488.321984,0.9501328828463685,0.0,0.9501328828463685,increasing,0,review,2.0,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed1,needs_participation_increase,1.0,-0.7412890457851999,0.7412890457851999,0.0,decreasing,D,32.737,2,0.539,542.493727,-0.04215359872569624,0.8255147318438205,0.7833611331181243,decreasing,1,review,0.5,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed2,needs_participation_increase,1.0,-0.6111341791158511,0.6111341791158511,0.0,decreasing,D,32.737,2,0.539,622.539954,-0.09560684816375076,0.7280749414852498,0.632468093321499,decreasing,2,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed0,needs_participation_increase,1.0,-0.9640739939632121,0.9640739939632121,0.0,decreasing,D,32.737,2,0.77,547.129746,-0.0608372812934479,0.7489111437339092,0.6880738624404613,decreasing,0,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed1,needs_participation_increase,1.0,-0.6464424221840618,0.6464424221840618,0.0,decreasing,D,32.737,2,0.77,629.009306,-0.16707743980813206,0.9445944624741486,0.7775170226660165,decreasing,1,review,1.0,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed2,candidate_pass,1.0,-0.6275052677045871,0.6275052677045871,0.0,decreasing,D,32.737,2,0.77,479.676329,0.2100192114720441,0.4901393552806483,0.7001585667526924,increasing,2,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed0,needs_d1_decrease,0.6666666666666666,0.5843568419455604,0.0,0.5843568419455604,increasing,D,37.517,2,0.539,546.822616,0.9407732829744111,0.0,0.9407732829744111,increasing,0,review,2.0,1,mismatch
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed1,needs_participation_increase,1.0,-0.7412890457851999,0.7412890457851999,0.0,decreasing,D,37.517,2,0.539,610.438964,-0.004690859357118438,0.8255147318438205,0.8208238724867021,decreasing,1,review,0.5,1,review
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed2,needs_participation_increase,1.0,-0.6111341791158511,0.6111341791158511,0.0,decreasing,D,37.517,2,0.539,686.994741,-0.1154787841379944,0.7280749414852498,0.6125961573472554,decreasing,2,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed0,needs_participation_increase,1.0,-0.9640739939632121,0.9640739939632121,0.0,decreasing,D,37.517,2,0.77,620.517593,-0.006495170235657155,0.7489111437339092,0.7424159734982521,decreasing,0,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed1,needs_participation_increase,1.0,-0.6856990764865699,0.6856990764865699,0.0,decreasing,D,37.517,2,0.77,667.204086,-0.12083433082055317,0.9030074145596518,0.7821730837390987,decreasing,1,review,0.75,1,review
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed2,candidate_pass,1.0,-0.6275052677045871,0.6275052677045871,0.0,decreasing,D,37.517,2,0.77,620.578088,0.1468379573473591,0.4901393552806483,0.6369773126280074,increasing,2,pass,0.1,2,pass
