artifact,diamond_size_case,particle_count_scale,particle_count_total,seed_index,e_al_emax_gpa,mu_scale,top_velocity_cm_s,time_step_seconds,initial_settle_steps,stage_settle_steps,final_settle_steps,al_radius_um,diamond_ds_radius_um,diamond_dl_radius_um,diamond_count_ds,diamond_count_dl,al_area_fraction,diamond_area_fraction,p95_mpa
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle4,C,2,151,0,72.581,0.654,50.0,2e-10,80000,80000,200000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,574.407459
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed1-settle4,C,2,151,1,72.581,0.654,50.0,2e-10,80000,80000,200000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,557.363897
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed2-settle4,C,2,151,2,72.581,0.654,50.0,2e-10,80000,80000,200000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,526.498004
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed3-settle4,C,2,151,3,72.581,0.654,50.0,2e-10,80000,80000,200000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,651.920164
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed4-settle4,C,2,151,4,72.581,0.654,50.0,2e-10,80000,80000,200000,9.19238816,16.9706,27.5772,16,16,0.399674767,0.600325233,525.969686
