artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle4,candidate_pass,1.0,-1.1499995883956546,1.1499995883956546,0.0,decreasing,C,72.581,200000,80000,2,0.654,574.407459,0.4125370913597953,0.21716608632655351,0.6297031776863489,increasing,2,151,0,80000,pass,0.1,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed1-settle4,candidate_pass,1.0,-0.9826876297173348,0.9826876297173348,0.0,decreasing,C,72.581,200000,80000,2,0.654,557.363897,0.09188953598938898,0.5637101840996565,0.6555997200890454,increasing,2,151,1,80000,pass,0.1,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed2-settle4,candidate_pass,1.0,-0.7772201796713829,0.7772201796713829,0.0,decreasing,C,72.581,200000,80000,2,0.654,526.498004,0.19157543846370367,0.42536754999639176,0.6169429884600954,increasing,2,151,2,80000,pass,0.25,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed3-settle4,candidate_pass,1.0,-0.9578536980817115,0.9578536980817115,0.0,decreasing,C,72.581,200000,80000,2,0.654,651.920164,0.07962612419971338,0.4533971545783406,0.533023278778054,increasing,2,151,3,80000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed4-settle4,candidate_pass,1.0,-1.1241047599349985,1.1241047599349985,0.0,decreasing,C,72.581,200000,80000,2,0.654,525.969686,0.1316988875876398,0.4312334913545812,0.562932378942221,increasing,2,151,4,80000,pass,0.05,2e-10,50.0,2,pass
