artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.8370338116300405,0.0,0.8370338116300405,increasing,C,18.0,3,0.7,285.49102,-0.04097762953672346,0.9155515105405332,0.8745738810038097,decreasing,0,review,1.25,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.8370338116300405,0.0,0.8370338116300405,increasing,C,18.0,4,0.7,285.49102,-0.04097762953672346,0.9155515105405332,0.8745738810038097,decreasing,0,review,1.25,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.5504747237367079,0.3554786861005611,0.905953409837269,increasing,C,18.0,2,0.7,285.49102,-0.05683625194355646,0.9522284221782965,0.89539217023474,decreasing,0,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.905953409837269,0.0,0.905953409837269,increasing,C,18.0,3,0.7,285.49102,-0.05683625194355646,0.9522284221782965,0.89539217023474,decreasing,0,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,0.7,285.49102,-0.05683625194355646,0.9522284221782965,0.89539217023474,decreasing,0,review,1.5,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.16627440334066113,0.1943804166014959,0.36065481994215703,increasing,C,18.0,2,0.7,285.49102,-0.032860147315707744,0.9777651709112933,0.9449050235955856,decreasing,0,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,1.0,0.36065481994215703,0.0,0.36065481994215703,increasing,C,18.0,3,0.7,285.49102,-0.032860147315707744,0.9777651709112933,0.9449050235955856,decreasing,0,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu0.7-seed0,needs_physics_calibration,0.6666666666666666,0.36065481994215703,0.0,0.36065481994215703,increasing,C,18.0,4,0.7,285.49102,-0.032860147315707744,0.9777651709112933,0.9449050235955856,decreasing,0,review,2.0,0,pass
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.33994684514376866,0.33994684514376866,0.0,decreasing,C,18.0,2,1.0,715.643991,-0.6993565428219328,0.8123891687902602,0.11303262596832736,decreasing,0,review,0.05,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.33994684514376866,0.33994684514376866,0.0,decreasing,C,18.0,3,1.0,715.643991,-0.6993565428219328,0.8123891687902602,0.11303262596832736,decreasing,0,review,0.05,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.33994684514376866,0.33994684514376866,0.0,decreasing,C,18.0,2,1.0,715.643991,-0.6918603599231972,0.8123891687902602,0.12052880886706312,decreasing,0,review,0.1,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.33994684514376866,0.33994684514376866,0.0,decreasing,C,18.0,3,1.0,715.643991,-0.6918603599231972,0.8123891687902602,0.12052880886706312,decreasing,0,review,0.1,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.3292724997349922,0.3292724997349922,0.0,decreasing,C,18.0,2,1.0,715.643991,-0.762894212338786,0.9006107560281915,0.13771654368940556,decreasing,0,review,0.25,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.3292724997349922,0.3292724997349922,0.0,decreasing,C,18.0,3,1.0,715.643991,-0.762894212338786,0.9006107560281915,0.13771654368940556,decreasing,0,review,0.25,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.30500206156528065,0.30500206156528065,0.0,decreasing,C,18.0,2,1.0,715.643991,-0.8147915332613639,0.9861907997799565,0.17139926651859264,decreasing,0,review,0.5,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.30500206156528065,0.30500206156528065,0.0,decreasing,C,18.0,3,1.0,715.643991,-0.8147915332613639,0.9861907997799565,0.17139926651859264,decreasing,0,review,0.5,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.30500206156528065,0.30500206156528065,0.0,decreasing,C,18.0,3,1.0,715.643991,-0.7748576035171302,0.9861907997799565,0.21133319626282632,decreasing,0,review,0.75,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.30500206156528065,0.30500206156528065,0.0,decreasing,C,18.0,2,1.0,715.643991,-0.7238432764634839,0.9861907997799565,0.2623475233164726,decreasing,0,review,1.0,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_participation_increase,1.0,-0.30500206156528065,0.30500206156528065,0.0,decreasing,C,18.0,3,1.0,715.643991,-0.7238432764634839,0.9861907997799565,0.2623475233164726,decreasing,0,review,1.0,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_d1_decrease,0.8333333333333334,0.6929987706858651,0.0,0.6929987706858651,increasing,C,18.0,2,1.0,715.643991,0.3635184951551435,0.0,0.3635184951551435,increasing,0,review,2.0,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_d1_decrease,0.8333333333333334,0.6929987706858651,0.0,0.6929987706858651,increasing,C,18.0,3,1.0,715.643991,0.3635184951551435,0.0,0.3635184951551435,increasing,0,review,2.0,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_d1_decrease,0.8333333333333334,0.6929987706858651,0.0,0.6929987706858651,increasing,C,18.0,4,1.0,715.643991,0.3635184951551435,0.0,0.3635184951551435,increasing,0,review,2.0,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,1.0,715.643991,-0.6993565428219328,0.8123891687902602,0.11303262596832736,decreasing,0,review,0.05,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,1.0,715.643991,-0.6918603599231972,0.8123891687902602,0.12052880886706312,decreasing,0,review,0.1,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,1.0,715.643991,-0.762894212338786,0.9006107560281915,0.13771654368940556,decreasing,0,review,0.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,1.0,715.643991,-0.8147915332613639,0.9861907997799565,0.17139926651859264,decreasing,0,review,0.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.6809845181315315,0.30500206156528065,0.9859865796968121,increasing,C,18.0,2,1.0,715.643991,-0.7748576035171302,0.9861907997799565,0.21133319626282632,decreasing,0,review,0.75,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,1.0,715.643991,-0.7748576035171302,0.9861907997799565,0.21133319626282632,decreasing,0,review,0.75,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,4,1.0,715.643991,-0.7238432764634839,0.9861907997799565,0.2623475233164726,decreasing,0,review,1.0,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.30259042965850297,0.25399234829389,0.556582777952393,increasing,C,18.0,2,1.0,715.643991,-0.6972715289649646,0.9929503555503493,0.2956788265853847,decreasing,0,review,1.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.556582777952393,0.0,0.556582777952393,increasing,C,18.0,3,1.0,715.643991,-0.6972715289649646,0.9929503555503493,0.2956788265853847,decreasing,0,review,1.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,1.0,0.573911466535312,0.0,0.573911466535312,increasing,C,18.0,2,1.0,715.643991,-0.6934216263572798,1.0,0.3065783736427202,decreasing,0,review,1.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,0.8333333333333334,0.556582777952393,0.0,0.556582777952393,increasing,C,18.0,4,1.0,715.643991,-0.6972715289649646,0.9929503555503493,0.2956788265853847,decreasing,0,review,1.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,0.8333333333333334,0.573911466535312,0.0,0.573911466535312,increasing,C,18.0,3,1.0,715.643991,-0.6934216263572798,1.0,0.3065783736427202,decreasing,0,review,1.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1-seed0,needs_physics_calibration,0.8333333333333334,0.573911466535312,0.0,0.573911466535312,increasing,C,18.0,4,1.0,715.643991,-0.6934216263572798,1.0,0.3065783736427202,decreasing,0,review,1.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_participation_increase,1.0,-0.686613094713938,0.686613094713938,0.0,decreasing,C,18.0,2,1.3,555.232354,-0.5296620263813956,0.8757898384709334,0.34612781208953775,decreasing,0,review,0.05,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_participation_increase,1.0,-0.686613094713938,0.686613094713938,0.0,decreasing,C,18.0,2,1.3,555.232354,-0.5191857723533366,0.8757898384709334,0.35660406611759676,decreasing,0,review,0.1,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_participation_increase,1.0,-0.686613094713938,0.686613094713938,0.0,decreasing,C,18.0,2,1.3,555.232354,-0.48867164016223036,0.8757898384709334,0.38711819830870303,decreasing,0,review,0.25,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_participation_increase,1.0,-0.686613094713938,0.686613094713938,0.0,decreasing,C,18.0,2,1.3,555.232354,-0.4280772293030979,0.8757898384709334,0.4477126091678355,decreasing,0,review,0.5,1,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,3,1.3,555.232354,-0.5296620263813956,0.8757898384709334,0.34612781208953775,decreasing,0,review,0.05,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,3,1.3,555.232354,-0.5191857723533366,0.8757898384709334,0.35660406611759676,decreasing,0,review,0.1,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,3,1.3,555.232354,-0.48867164016223036,0.8757898384709334,0.38711819830870303,decreasing,0,review,0.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,3,1.3,555.232354,-0.4280772293030979,0.8757898384709334,0.4477126091678355,decreasing,0,review,0.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.9970014383882674,0.686613094713938,1.6836145331022054,increasing,C,18.0,2,1.3,555.232354,-0.3786415735838816,0.8757898384709334,0.49714826488705177,decreasing,0,review,0.75,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,3,1.3,555.232354,-0.3786415735838816,0.8757898384709334,0.49714826488705177,decreasing,0,review,0.75,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.9811409631812767,0.0,0.9811409631812767,increasing,C,18.0,2,1.3,555.232354,-0.45815228176476686,0.9986715254135149,0.540519243648748,decreasing,0,review,1.0,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,18.0,3,1.3,555.232354,-0.45815228176476686,0.9986715254135149,0.540519243648748,decreasing,0,review,1.0,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.9129462651008964,0.0,0.9129462651008964,increasing,C,18.0,2,1.3,555.232354,-0.39126667769536205,0.9986715254135149,0.6074048477181528,decreasing,0,review,1.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.9129462651008964,0.0,0.9129462651008964,increasing,C,18.0,3,1.3,555.232354,-0.39126667769536205,0.9986715254135149,0.6074048477181528,decreasing,0,review,1.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,1.2097854667324077,0.0,1.2097854667324077,increasing,C,18.0,2,1.3,555.232354,-0.36888479741280433,0.9986715254135149,0.6297867280007106,decreasing,0,review,1.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,1.0,0.9369097554901364,0.0,0.9369097554901364,increasing,C,18.0,2,1.3,555.232354,-0.30968557615180603,0.9986715254135149,0.6889859492617089,decreasing,0,review,2.0,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.5296620263813956,0.8757898384709334,0.34612781208953775,decreasing,0,review,0.05,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.5191857723533366,0.8757898384709334,0.35660406611759676,decreasing,0,review,0.1,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.48867164016223036,0.8757898384709334,0.38711819830870303,decreasing,0,review,0.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.4280772293030979,0.8757898384709334,0.4477126091678355,decreasing,0,review,0.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.8333333333333334,1.2097854667324077,0.0,1.2097854667324077,increasing,C,18.0,3,1.3,555.232354,-0.36888479741280433,0.9986715254135149,0.6297867280007106,decreasing,0,review,1.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.6666666666666666,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.3786415735838816,0.8757898384709334,0.49714826488705177,decreasing,0,review,0.75,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.6666666666666666,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.45815228176476686,0.9986715254135149,0.540519243648748,decreasing,0,review,1.0,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.6666666666666666,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.39126667769536205,0.9986715254135149,0.6074048477181528,decreasing,0,review,1.25,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.6666666666666666,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.36888479741280433,0.9986715254135149,0.6297867280007106,decreasing,0,review,1.5,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.6666666666666666,0.0,0.0,0.0,flat,C,18.0,3,1.3,555.232354,-0.30968557615180603,0.9986715254135149,0.6889859492617089,decreasing,0,review,2.0,0,review
dia60al40-dem-artifacts-sizeC-Emax18-mu1.3-seed0,needs_physics_calibration,0.5,0.0,0.0,0.0,flat,C,18.0,4,1.3,555.232354,-0.30968557615180603,0.9986715254135149,0.6889859492617089,decreasing,0,review,2.0,0,review
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,candidate_pass,1.0,-0.4264560457709529,0.4264560457709529,0.0,decreasing,C,24.174,2,0.7,347.946574,0.04862526975807402,0.6193591364857589,0.6679844062438329,increasing,0,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,candidate_pass,1.0,-0.4264560457709529,0.4264560457709529,0.0,decreasing,C,24.174,3,0.7,347.946574,0.04862526975807402,0.6193591364857589,0.6679844062438329,increasing,0,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,candidate_pass,1.0,-0.4219800127133863,0.4219800127133863,0.0,decreasing,C,24.174,2,0.7,347.946574,0.0055194785013619185,0.6696810204229691,0.675200498924331,increasing,0,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,candidate_pass,1.0,-0.4219800127133863,0.4219800127133863,0.0,decreasing,C,24.174,3,0.7,347.946574,0.0055194785013619185,0.6696810204229691,0.675200498924331,increasing,0,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,candidate_pass,1.0,-0.3804934321731804,0.3804934321731804,0.0,decreasing,C,24.174,2,0.7,347.946574,0.022460723134432925,0.7593609224265025,0.7818216455609355,increasing,0,pass,0.5,2,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,candidate_pass,1.0,-0.3804934321731804,0.3804934321731804,0.0,decreasing,C,24.174,3,0.7,347.946574,0.022460723134432925,0.7593609224265025,0.7818216455609355,increasing,0,pass,0.5,2,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,24.174,4,0.7,347.946574,0.04862526975807402,0.6193591364857589,0.6679844062438329,increasing,0,review,0.05,1,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,24.174,4,0.7,347.946574,0.0055194785013619185,0.6696810204229691,0.675200498924331,increasing,0,review,0.1,1,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,needs_participation_increase,1.0,-0.4101221522889232,0.4101221522889232,0.0,decreasing,C,24.174,2,0.7,347.946574,-0.012388695117395931,0.7200854253176628,0.7076967302002669,decreasing,0,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,needs_participation_increase,1.0,-0.4101221522889232,0.4101221522889232,0.0,decreasing,C,24.174,3,0.7,347.946574,-0.012388695117395931,0.7200854253176628,0.7076967302002669,decreasing,0,review,0.25,1,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,C,24.174,4,0.7,347.946574,0.022460723134432925,0.7593609224265025,0.7818216455609355,increasing,0,review,0.5,1,pass
dia60al40-dem-artifacts-sizeC-Emax24.174-mu0.7-seed0,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,C,24.174,4,0.7,347.946574,-0.012388695117395931,0.7200854253176628,0.7076967302002669,decreasing,0,review,0.25,0,pass
