% Model,Untitled.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 13 2026, 16:46"
% Dimension,2
% Nodes,4318
% Expressions,6
% Description,"温度, 温度, 电流密度模, 体积损耗密度，电磁, 插值, 插值"
% Length unit,µm
% x,y,V (V),T (K),ec.normJ (A/m^2),ec.Qh (W/m^3),sigma_map(x;y) (S/m),k_map(x;y) (W/(m*K))
3.2599495497811914,3.3649261617151875,0.001452946578645463,293.17979904223847,5073073.574700295,1.8916141138567696E9,13605.384080133375,30.186168953636788
0,4.969012714285714,0.002033479614265831,293.1925672259731,3775450.2216875725,1.262290658069832E9,11293.195906796742,28.31773406609737
0,0,0,293.15,3693989.2169333007,1.81520549947454E9,7517.71117749,25.2668373151
4.999999999999981,0,0,293.15,5672728.544262688,2.7672484373610024E9,11628.925304099983,28.589030548799986
3.729616434311324,7.495213423362625,0.0028147065859254433,293.2117609877383,5356589.134311038,1.546334861788634E9,18556.06405976876,34.18671843213236
0,9.938025428571429,0.0034990219486677582,293.2284736272614,3959807.6928799655,1.0203214520581824E9,15368.287694001017,31.610737530500817
7.5701313145946525,4.360404670927598,0.0017891814686641218,293.1883465584747,6799575.503217473,2.3245355151368666E9,19890.62255406959,35.26514953865662
10.000000000000005,0,0,293.15,7728470.433069098,3.671976089226475E9,16266.252499100005,32.33636565580001
3.9359995161751034,12.409052098654868,0.004097678920002182,293.2445046119623,5647657.019694116,1.338077735133613E9,23837.78616491934,38.45477669893509
0,14.907038142857141,0.004689858593732094,293.2595164575187,4198644.0034954,9.327117065119323E8,18900.507928369527,34.46505691187538
7.676292223988357,9.849134913032763,0.003424185126611311,293.2282581440693,7068713.887809721,1.816948290513438E9,27501.553518354256,41.41539678249916
11.235063136719628,7.694042626142827,0.0027977742806489154,293.213697982621,8373960.946058735,2.362352399471214E9,29683.95614404721,43.17895445982408
12.777593269196442,4.013186571035842,0.0016266741733275431,293.1858984013401,8794761.072516942,3.024869212391218E9,25570.970430025893,39.8553296404047
14.99999999999999,0,0,293.15,9515047.461272962,4.399868577717583E9,20577.037882999994,35.81982859229999
4.0983241168925275,17.35049963376413,0.005208110432543226,293.27357701338775,5997148.298336809,1.288281022942184E9,27918.060662829463,41.75196821238774
0,19.876050857142857,0.00576255014805976,293.2875067484788,4449973.611382405,9.327464324264361E8,21230.07069920899,36.34753187820726
8.15056799768712,14.847923587898004,0.0046155777321152626,293.25922216161865,7557580.518015537,1.684683705731959E9,33903.962417122006,46.58906053909348
12.489853974283204,12.257890530669052,0.00395557165368076,293.2435976829302,8962403.971945439,2.1155286934834018E9,37969.865398178656,49.87463870556332
15.27703747526228,7.995089753897366,0.0028298797377567246,293.21582209521574,9724597.70314552,2.663116861275029E9,35510.24195996599,47.88706421000501
17.583327688602097,4.02958237524726,0.001592524518136287,293.18613397666303,1.0200636861358302E7,3.426081819915375E9,30371.17029694599,43.73427902782373
20.00000000000001,0,0,293.15,1.076337202874179E7,4.840826061392491E9,23931.922373000005,38.53084636210001
4.0810454780425856,22.34545740177566,0.006265130694065827,293.30068067446473,6302052.663571835,1.3208920824037228E9,30067.665201016527,43.48902238468538
0,24.84506357142857,0.00680550658139521,293.31377911794374,4678386.070986003,9.827212439283549E8,22272.13293780114,37.18960237400093
8.194060002377814,19.864594150859247,0.005700935185455353,293.2872819844575,7913539.870773685,1.6705029650637443E9,37488.23715927629,49.485444169081376
12.338647112690104,17.53411391446116,0.005140346176872041,293.2741935672653,9244624.45131775,1.9871787444437077E9,43007.99481362325,53.94585439483916
15.974676811263603,15.46738272586804,0.004624064618270868,293.2621481849443,1.0255853682928342E7,2.2480065844300075E9,46789.49969173349,57.00161591247485
17.548491929792686,11.830007756661386,0.003768825791324176,293.2405617712357,1.0412280231055982E7,2.461693563456861E9,44041.427476040524,54.78095149575949
20.07504303647679,7.995497952159137,0.002764619446432803,293.21560031204984,1.0863821330849526E7,2.917655845807964E9,40451.25049067246,51.87979837633522
22.50982593289736,4.039502265041835,0.001556755343575855,293.18615384834544,1.118242360453041E7,3.664271804631552E9,34126.18546876008,46.76863472223579
25.00000000000004,0,0,293.15,1.1554020814521974E7,5.070487843431742E9,26327.92579920001,40.467010746900016
4.048518698702819,27.32528389471812,0.007317730643664669,293.3264665362933,6587594.002466518,1.4071198510880787E9,30840.642321207473,44.1136503605885
0,29.814076285714282,0.007866136481634995,293.33909271371397,4869186.3486257,1.0551495095885323E9,22469.78413049961,37.349320509499684
8.145126373051868,24.813568269939395,0.006746162743567788,293.31339145584826,8245382.645849208,1.7472544869020426E9,38910.38886355097,50.634657667534725
12.348993054204207,22.311987090218327,0.00615396683846389,293.2998980594045,9622094.504649011,2.036428735486391E9,45464.51272061782,55.93091937018323
17.054470972017533,19.96763979633143,0.00556532945448275,293.28665686971766,1.0803333574818779E7,2.2806668337709737E9,51174.60827084064,60.54513799668671
20.104757615603372,15.877702968545218,0.004628287730962991,293.26373257668405,1.1154078620702514E7,2.4027022281562095E9,51781.704904870916,61.0357211352134
22.52698919202953,12.013330746917864,0.003722370770976631,293.2410040485347,1.1320858764174933E7,2.605270523110455E9,49193.675719680374,58.94438441995948
25.004936810255373,8.064891438698439,0.0027173927180932783,293.215676139904,1.1599185336948829E7,3.0286743469832177E9,44422.53479992481,55.088917010049606
27.50107759955516,4.037496655209309,0.0015208901192641049,293.1860061757828,1.1861499505810691E7,3.7947466410822396E9,37076.54265393803,49.15276174051923
29.99999999999998,0,0,293.15,1.2144162313788354E7,5.223778498116223E9,28232.568015899993,42.00611556839999
4.035174368690762,32.29010633617544,0.00839715551382666,293.351424686487,6842928.377864731,1.5139308162802925E9,30929.863781696444,44.18574851046108
0,34.783089,0.008964270412954879,293.36373022567534,5028870.322387289,1.1322785618268347E9,22335.0877116,37.2404749185
8.0859319283704,29.78639887960136,0.007815276754416678,293.3387664209394,8561616.020385403,1.8699485487675755E9,39199.62177718917,50.868381234067215
12.115952976062891,27.253799137567757,0.00721137172866141,293.32553318745266,9951143.110389108,2.1529493138601165E9,45995.22184282233,56.35977522649065
16.191561566354192,25.014640207398813,0.006652696216308737,293.3133205772433,1.1018800604934724E7,2.3646102377680554E9,51346.30205271126,60.6838804466011
20.100929877408056,23.55939505129211,0.00624953946454965,293.3048027102944,1.167459045238733E7,2.4901019755477743E9,54735.345463745354,63.422501384856766
22.320053983828526,20.03399381722565,0.005452160384379358,293.2856878394609,1.1680463598834286E7,2.437153225919224E9,55980.64730567909,64.42880590363829
24.95352229542041,16.175220059089842,0.00458268754333966,293.2642646272653,1.176125765716019E7,2.471590721636675E9,55968.23730315902,64.41877761874277
27.47519294779306,12.136646195804655,0.0036610924178885735,293.24091695750707,1.1897337558516858E7,2.6550678953417754E9,53312.17000115797,62.272460607016676
29.996004756173498,8.078467966117596,0.0026602940306746027,293.21532678184127,1.2151167340203708E7,3.086925700366156E9,47831.21330013213,57.843404686936886
4.034679392098518,37.26176991483712,0.009518532495400413,293.37577348567874,7058564.975452433,1.6224944919233816E9,30707.86414154372,44.00635486186744
0,39.752101714285715,0.010105808386145877,293.38771771602137,5173658.945918499,1.2116722921436615E9,22090.7494390007,37.04302984970057
8.072337464228015,34.76815528121205,0.00892294151854013,293.3635486746075,8852026.942347331,2.0051439208052833E9,39078.694037927344,50.7706618488115
12.10795907332459,32.276780658511875,0.00831620436147225,293.35093869576843,1.0324786340578966E7,2.317006124230499E9,46008.17442560258,56.3702419600372
16.15309681152869,29.86940387910133,0.007710636871847173,293.33823315618014,1.1404356979026495E7,2.5420538662365437E9,51163.107720007036,60.53584462216407
20.27319769698219,27.564473863959783,0.0071066112154937215,293.32547385434276,1.1994057988325464E7,2.6482209779787407E9,54322.32886357523,63.0887505968037
24.302542146907985,24.7053227106638,0.006375121495045722,293.309416811958,1.2105131128516247E7,2.5930388238843794E9,56510.733263592236,64.85715819278722
27.372969467053508,20.758216607159394,0.0054634887515052155,293.28787501632263,1.2050768492093686E7,2.4686895373164434E9,58826.77302944479,66.72870547837272
27.664213923821812,24.39439510506279,0.006206809676181733,293.3065960551125,1.2138819059287379E7,2.5721639604658136E9,57286.84527434277,65.48431941363843
29.921170566214453,16.231430018886293,0.004481784625854705,293.2633137387234,1.2131035273617057E7,2.472935454795988E9,59510.95627042025,67.2815808246222
4.035815144302922,42.23263811510073,0.01068415745971024,293.3994458399432,7234235.427749627,1.7310903111792057E9,30231.9156703929,43.62175003667425
0,44.72111442857143,0.011294293573465746,293.4110053510925,5315273.277911113,1.2973230412054665E9,21777.2535616018,36.789699847701456
4.0372237695745605,47.20329719760154,0.011897844286880678,293.4223790309616,7376055.327602598,1.8374227921237018E9,29610.104171215,43.119276097950554
0,49.69012714285715,0.012529837289054635,293.4334763555607,5452281.531076445,1.3798756156768587E9,21543.525276402015,36.60082850620163
8.069478257667063,39.74217431189949,0.01007115945616855,293.38765259511655,9070329.394134147,2.1335851282831001E9,38559.93667537593,50.35146398008981
12.100801765216763,37.251701586246995,0.009452868818797226,293.37552478669016,1.0596554490979167E7,2.468889211371041E9,45480.78096764546,55.94406542837164
16.11523220683862,34.78591901251193,0.008827004062467924,293.3630378987303,1.1717889833407557E7,2.720647287217402E9,50469.27418758632,59.97517106062853
20.11692278584994,32.3325707287963,0.008182860759768163,293.34999674547504,1.2302747238856899E7,2.8516854921363125E9,53076.551735784225,62.082062008687
24.058267951511645,29.82471324751871,0.007506255646642763,293.336038429314,1.2316449238295445E7,2.8210733053654456E9,53772.06348328925,62.64409170362146
28.0265505060568,27.865480349736483,0.006943508668837023,293.324470022629,1.217192861958236E7,2.729199695501949E9,54285.52665813593,63.059011440925865
30.699827824575117,24.09278562975419,0.006050691977273109,293.3039259862953,1.2105580656751826E7,2.5280299860044603E9,57968.44022612241,66.03510321307537
32.356388334412436,20.104698383057006,0.005199204496581976,293.2829085600037,1.2221783443822717E7,2.418808265564194E9,61754.57668303233,69.0946074206281
4.038361132330756,52.173602228463395,0.013154946293261763,293.44439999764,7481098.2579392865,1.9173988945507948E9,29189.017894250344,42.779004359011374
0,54.659139857142875,0.01379810226901814,293.45487237938386,5564542.544836901,1.4306186175434568E9,21643.897707704797,36.68193754160387
4.039042994170069,57.143336466249245,0.01443185150265682,293.4651760641489,7538822.830274197,1.9355858799402106E9,29362.708624212013,42.919360504408445
0,59.62815257142857,0.015066741154905144,293.4748231857652,5619837.34427974,1.4226517310794728E9,22199.81493790545,37.13116358620441
8.071447112416676,44.71465248434504,0.011265211811728902,293.41105707356866,9200976.090029253,2.2543445966174054E9,37553.25840083196,49.53798658654
8.074934657258607,49.68665979987403,0.012506992150677099,293.43366455385353,9253832.395623337,2.3546565126819634E9,36367.693958976546,48.579954714345995
12.099936768197264,42.22348088992466,0.010633139663060438,293.39944521550757,1.073823717209212E7,2.5997731864987526E9,44353.80195013178,55.03337531323782
16.119746937752122,39.730360910072,0.009996428835561162,293.387449768365,1.1883999175748026E7,2.8665199961385674E9,49268.69786610809,59.005008376663845
20.090534975121855,37.25780728958155,0.009348821283161784,293.37500370825234,1.2487590843091628E7,3.0307476015320206E9,51452.71318204734,60.76986923801508
24.0049862149587,34.711378708070505,0.00865712928167784,293.36145734067264,1.2432753903344044E7,3.035588543699347E9,50920.46757770173,60.339771779891976
27.783025430842073,32.72084188413958,0.008077202035473184,293.3501326329584,1.2174301761369897E7,2.9715851805513167E9,49877.17607632245,59.49670794043288
31.227761073841304,31.371756081796438,0.0076500235500030515,293.34193949747964,1.1856273212612335E7,2.866937281550166E9,49031.92433177942,58.81367622770041
4.039237728043534,62.11259734653581,0.01569008449207962,293.4843198489695,7543815.636194932,1.8777316174829953E9,30307.478647460084,43.68281102822396
0,64.5971652857143,0.0162974658967837,293.4929941750082,5599740.011660854,1.3546706817381668E9,23147.398825203636,37.896887939602934
4.03927624087423,67.08167164285715,0.016892705570733222,293.50155070046463,7503613.26783869,1.7608054783101895E9,31976.43711013035,45.031464331431884
0,69.566178,0.017460611961782103,293.50920068769386,5520236.86396432,1.2483627268467066E9,24410.385469,38.9174832073
8.07722245965995,54.65780662195535,0.013784209494947115,293.45522271933027,9256066.967066417,2.400313790253385E9,35693.16174014402,48.0348781739138
8.078291578129237,59.627819372181364,0.015064380963282704,293.4753388641703,9236489.299233535,2.362403392845779E9,36112.69684889357,48.373896443537326
12.106620656018983,47.19697270035341,0.011860846925060724,293.4226372275679,1.0756528944811773E7,2.706930190136775E9,42743.32561652932,53.731980296196305
12.113132773944193,52.17045642105376,0.01313181192958453,293.4449193737257,1.0689149156685492E7,2.768718020641895E9,41267.58232911198,52.53946046800328
