artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,seed_index,source_run_id,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-Emax44.772-mu0.885-seed1,needs_d1_decrease,0.8333333333333334,1.0748773280247674,0.0,1.0748773280247674,increasing,C,44.772,2.0,0.885,633.387654,0.8992755321918728,0.0,0.8992755321918728,increasing,1.0,27874059503,review,1.5,1,review
dia60al40-dem-artifacts-sizeC-Emax44.772-mu0.885-seed2,needs_participation_increase,1.0,-0.18771267109840029,0.18771267109840029,0.0,decreasing,C,44.772,2.0,0.885,621.348083,-0.1666887087607426,0.8645396388563089,0.6978509300955663,decreasing,2.0,27874059503,review,0.5,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed0,needs_d1_decrease,0.6666666666666666,0.5764016592022418,0.0,0.5764016592022418,increasing,D,32.737,2.0,0.539,488.321984,0.9501328828463685,0.0,0.9501328828463685,increasing,0.0,27874061902,review,2.0,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed1,needs_participation_increase,1.0,-0.7412890457851999,0.7412890457851999,0.0,decreasing,D,32.737,2.0,0.539,542.493727,-0.04215359872569624,0.8255147318438205,0.7833611331181243,decreasing,1.0,27874061902,review,0.5,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.539-seed2,needs_participation_increase,1.0,-0.6111341791158511,0.6111341791158511,0.0,decreasing,D,32.737,2.0,0.539,622.539954,-0.09560684816375076,0.7280749414852498,0.632468093321499,decreasing,2.0,27874061902,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed0,needs_participation_increase,1.0,-0.9640739939632121,0.9640739939632121,0.0,decreasing,D,32.737,2.0,0.77,547.129746,-0.0608372812934479,0.7489111437339092,0.6880738624404613,decreasing,0.0,27874061902,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed1,needs_participation_increase,1.0,-0.6464424221840618,0.6464424221840618,0.0,decreasing,D,32.737,2.0,0.77,629.009306,-0.16707743980813206,0.9445944624741486,0.7775170226660165,decreasing,1.0,27874061902,review,1.0,1,review
dia60al40-dem-artifacts-sizeD-Emax32.737-mu0.77-seed2,candidate_pass,1.0,-0.6275052677045871,0.6275052677045871,0.0,decreasing,D,32.737,2.0,0.77,479.676329,0.2100192114720441,0.4901393552806483,0.7001585667526924,increasing,2.0,27874061902,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed0,needs_d1_decrease,0.6666666666666666,0.5843568419455604,0.0,0.5843568419455604,increasing,D,37.517,2.0,0.539,546.822616,0.9407732829744111,0.0,0.9407732829744111,increasing,0.0,27874061902,review,2.0,1,mismatch
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed1,needs_participation_increase,1.0,-0.7412890457851999,0.7412890457851999,0.0,decreasing,D,37.517,2.0,0.539,610.438964,-0.004690859357118438,0.8255147318438205,0.8208238724867021,decreasing,1.0,27874061902,review,0.5,1,review
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.539-seed2,needs_participation_increase,1.0,-0.6111341791158511,0.6111341791158511,0.0,decreasing,D,37.517,2.0,0.539,686.994741,-0.1154787841379944,0.7280749414852498,0.6125961573472554,decreasing,2.0,27874061902,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed0,needs_participation_increase,1.0,-0.9640739939632121,0.9640739939632121,0.0,decreasing,D,37.517,2.0,0.77,620.517593,-0.006495170235657155,0.7489111437339092,0.7424159734982521,decreasing,0.0,27874061902,review,0.25,1,review
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed1,needs_participation_increase,1.0,-0.6856990764865699,0.6856990764865699,0.0,decreasing,D,37.517,2.0,0.77,667.204086,-0.12083433082055317,0.9030074145596518,0.7821730837390987,decreasing,1.0,27874061902,review,0.75,1,review
dia60al40-dem-artifacts-sizeD-Emax37.517-mu0.77-seed2,candidate_pass,1.0,-0.6275052677045871,0.6275052677045871,0.0,decreasing,D,37.517,2.0,0.77,620.578088,0.1468379573473591,0.4901393552806483,0.6369773126280074,increasing,2.0,27874061902,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.693-seed0,candidate_pass,1.0,-1.0442150247500337,1.0442150247500337,0.0,decreasing,E,36.471,2.0,0.693,498.32732,0.19249997230472654,0.47838077264734663,0.6708807449520732,increasing,0.0,27874064063,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.693-seed1,needs_participation_increase,1.0,-0.9254496364861736,0.9254496364861736,0.0,decreasing,E,36.471,2.0,0.693,568.412139,-0.14033548335370694,0.8651186251241428,0.7247831417704359,decreasing,1.0,27874064063,review,0.25,1,review
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.693-seed2,candidate_pass,1.0,-0.7600010494897412,0.7600010494897412,0.0,decreasing,E,36.471,2.0,0.693,562.171058,0.05819526954468446,0.6338735983954531,0.6920688679401376,increasing,2.0,27874064063,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.77-seed0,candidate_pass,1.0,-0.3182777034736284,0.3182777034736284,0.0,decreasing,E,36.471,2.0,0.77,635.947642,0.1059166790659356,0.676483366012603,0.7824000450785386,increasing,0.0,27874064063,pass,0.75,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.77-seed1,candidate_pass,1.0,-0.9550010463713663,0.9550010463713663,0.0,decreasing,E,36.471,2.0,0.77,638.609717,0.17037541154516495,0.49912517990326416,0.6695005914484291,increasing,1.0,27874064063,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.77-seed2,candidate_pass,1.0,-0.9628574689339516,0.9628574689339516,0.0,decreasing,E,36.471,2.0,0.77,623.451297,0.02037059502825922,0.686099549015908,0.7064701440441672,increasing,2.0,27874064063,pass,0.1,2,review
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.693-seed0,candidate_pass,1.0,-1.0442150247500337,1.0442150247500337,0.0,decreasing,E,37.517,2.0,0.693,540.412871,0.14557284113731822,0.47838077264734663,0.6239536137846649,increasing,0.0,27874064063,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.693-seed1,needs_participation_increase,1.0,-0.9254496364861736,0.9254496364861736,0.0,decreasing,E,37.517,2.0,0.693,575.259508,-0.12971656569085976,0.8651186251241428,0.7354020594332831,decreasing,1.0,27874064063,review,0.25,1,review
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.693-seed2,candidate_pass,1.0,-0.7600010494897412,0.7600010494897412,0.0,decreasing,E,37.517,2.0,0.693,604.217336,0.11872776083164682,0.6338735983954531,0.7526013592270999,increasing,2.0,27874064063,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.77-seed0,candidate_pass,1.0,-0.3182777034736284,0.3182777034736284,0.0,decreasing,E,37.517,2.0,0.77,655.388854,0.0627872524339873,0.676483366012603,0.7392706184465903,increasing,0.0,27874064063,pass,0.75,2,pass
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.77-seed1,candidate_pass,1.0,-0.9550010463713663,0.9550010463713663,0.0,decreasing,E,37.517,2.0,0.77,652.614774,0.15425719108432073,0.49912517990326416,0.6533823709875849,increasing,1.0,27874064063,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.77-seed2,needs_participation_increase,1.0,-0.9628574689339516,0.9628574689339516,0.0,decreasing,E,37.517,2.0,0.77,655.189811,-0.008340231404413867,0.686099549015908,0.6777593176114941,decreasing,2.0,27874064063,review,0.1,1,review
