seed_index,baseline_p95_mpa,test_p95_mpa,p95_delta_mpa,p95_delta_percent,baseline_status,test_status,baseline_pressure_in_window,test_pressure_in_window,baseline_pass_and_window,test_pass_and_window,test_participation_delta,test_d1_delta
0,573.482648,417.418431,-156.06421700000004,-27.213415705648348,review,review,True,False,False,False,0.01594398378710482,0.6320628370565224
1,543.867388,385.385438,-158.48194999999998,-29.13981486972335,pass,pass,False,False,False,False,0.03854386736602333,-1.1710836252018688
2,607.731725,415.840968,-191.890757,-31.574911939968253,pass,review,True,False,True,False,-0.0437264023017373,1.4096743312353675
3,575.954583,397.212225,-178.74235799999997,-31.034106381961017,pass,pass,True,False,True,False,0.6412912934179953,-0.06985616416927998
4,570.019337,434.123362,-135.89597499999996,-23.840590341236087,pass,pass,False,False,False,False,0.5299592990453874,-0.4720185026827639
