source_run_id,source_run_dir,artifact,diamond_size_case,particle_count_scale,particle_count_total,seed_index,e_al_emax_gpa,mu_scale,p95_mpa,pressure_in_window,status,trend_gate,calibration_diagnosis,threshold_factor,min_chain_length,participation_delta,d1_delta,zhang_stage_status
27882367107,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882367107,dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,C,2.0,151.0,2.0,61.962,0.654,567.207203,False,pass,pass,candidate_pass,0.05,2.0,0.05235300964008327,-1.1592771855944781,pass
27882367107,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882367107,dia60al40-dem-artifacts-sizeC-pscale2-Emax65.223-mu0.654-seed2,C,2.0,151.0,2.0,65.223,0.654,518.883754,False,pass,pass,candidate_pass,0.05,2.0,0.1365831157566314,-1.1592771855944781,pass
27882367107,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882367107,dia60al40-dem-artifacts-sizeC-pscale2-Emax68.484-mu0.654-seed2,C,2.0,151.0,2.0,68.484,0.654,547.301314,False,pass,pass,candidate_pass,0.05,2.0,0.13925960382813407,-1.1592771855944781,pass
27882368312,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882368312,dia60al40-dem-artifacts-sizeD-pscale2-Emax51.728-mu0.77-seed2,D,2.0,92.0,2.0,51.728,0.77,540.010179,False,review,review,needs_participation_increase,0.05,2.0,-0.23406115504619351,-0.7659437877469726,review
27882368312,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882368312,dia60al40-dem-artifacts-sizeD-pscale2-Emax54.451-mu0.77-seed2,D,2.0,92.0,2.0,54.451,0.77,545.44261,False,review,review,needs_participation_increase,0.05,2.0,-0.2140937010014542,-0.7659437877469726,review
27882368312,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882368312,dia60al40-dem-artifacts-sizeD-pscale2-Emax57.173-mu0.77-seed2,D,2.0,92.0,2.0,57.173,0.77,634.794852,True,review,review,needs_participation_increase,1.25,3.0,-0.13692148885408062,-0.16442023092204994,review
27882369414,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882369414,dia60al40-dem-artifacts-sizeE-pscale2-Emax57.506-mu0.693-seed2,E,2.0,129.0,2.0,57.506,0.693,457.388196,False,review,review,needs_participation_increase,0.1,2.0,-0.0263589502398901,-0.9423744710599662,pass
27882369414,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882369414,dia60al40-dem-artifacts-sizeE-pscale2-Emax60.533-mu0.693-seed2,E,2.0,129.0,2.0,60.533,0.693,466.034964,False,review,review,needs_participation_increase,0.1,2.0,-0.010626018427045913,-0.9423744710599662,pass
27882369414,docs/reproduction_goal/03_zhang_particle_scale/evidence/pscale2_recalibration_run_27882369414,dia60al40-dem-artifacts-sizeE-pscale2-Emax63.559-mu0.693-seed2,E,2.0,129.0,2.0,63.559,0.693,480.140041,False,review,review,needs_participation_increase,0.1,2.0,-0.061986352094604014,-0.9423744710599662,pass
