diamond_size_case,run_count,pressure_window_count,pass_and_window_count,pass_count,p95_min_mpa,p95_max_mpa,p95_mean_mpa,best_artifact,best_e_al_emax_gpa,best_mu_scale,best_p95_mpa,best_status,best_pressure_in_window,best_participation_delta,best_d1_delta,best_calibration_diagnosis,decision
C,4,1,1,4,527.445994,586.646265,554.8133142500001,dia60al40-dem-artifacts-sizeC-pscale2-Emax63.462-mu0.654-seed2,63.462,0.654,586.646265,pass,True,0.06508292468119092,-1.1592771855944781,candidate_pass,candidate_ready_for_seed_recheck
D,3,1,0,0,520.276832,634.794852,571.7202836666667,dia60al40-dem-artifacts-sizeD-pscale2-Emax57.173-mu0.77-seed2,57.173,0.77,634.794852,review,True,-0.13692148885408062,-0.16442023092204994,needs_participation_increase,hold_pressure_candidate_and_tune_trend
E,3,0,0,2,520.090432,543.689453,533.3261393333333,dia60al40-dem-artifacts-sizeE-pscale2-Emax87.368-mu0.693-seed2,87.368,0.693,543.689453,pass,False,0.019894247752086147,-0.9423744710599662,candidate_pass,extend_pressure_without_losing_trend
