diamond_size_case,run_count,pressure_window_count,pass_and_window_count,pass_count,p95_min_mpa,p95_max_mpa,p95_mean_mpa,best_artifact,best_e_al_emax_gpa,best_mu_scale,best_p95_mpa,best_status,best_pressure_in_window,best_participation_delta,best_d1_delta,best_calibration_diagnosis,decision
C,3,0,0,3,518.883754,567.207203,544.4640903333334,dia60al40-dem-artifacts-sizeC-pscale2-Emax61.962-mu0.654-seed2,61.962,0.654,567.207203,pass,False,0.05235300964008327,-1.1592771855944781,candidate_pass,extend_endpoint_modulus_or_loading_path
D,3,1,0,0,540.010179,634.794852,573.4158803333333,dia60al40-dem-artifacts-sizeD-pscale2-Emax57.173-mu0.77-seed2,57.173,0.77,634.794852,review,True,-0.13692148885408062,-0.16442023092204994,needs_participation_increase,hold_pressure_candidate_and_tune_participation
E,3,0,0,0,457.388196,480.140041,467.85440033333333,dia60al40-dem-artifacts-sizeE-pscale2-Emax63.559-mu0.693-seed2,63.559,0.693,480.140041,review,False,-0.061986352094604014,-0.9423744710599662,needs_participation_increase,extend_endpoint_modulus_or_loading_path
