seed_index,baseline_p95_mpa,test_p95_mpa,p95_delta_mpa,p95_delta_percent,baseline_status,test_status,baseline_pressure_in_window,test_pressure_in_window,baseline_pass_and_window,test_pass_and_window,test_participation_delta,test_d1_delta
0,573.482648,522.993821,-50.488827000000015,-8.803897934153365,review,pass,True,False,False,False,0.10006962459037583,-1.3320693107895196
1,543.867388,567.106367,23.238978999999972,4.272912756445689,pass,review,False,False,False,False,-0.016694162143973568,-1.1697252769048032
2,607.731725,608.187754,0.45602900000005775,0.07503787958413027,pass,review,True,True,True,False,-0.23120764749949868,-0.9435778828987346
3,575.954583,577.420093,1.4655099999999948,0.2544488824737757,pass,pass,True,True,True,True,0.17778113411904845,-1.0841086488238634
4,570.019337,549.861245,-20.158091999999897,-3.536387398029604,pass,pass,False,False,False,False,0.010448298499437292,-1.1624210112336713
