artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed0-settle2,candidate_pass,1.0,-0.4237394464406894,0.4237394464406894,0.0,decreasing,C,72.581,100000,40000,3,0.654,536.402418,0.20991261442399145,0.5992026371117428,0.8091152515357343,increasing,2,151,0,40000,pass,0.75,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed1-settle2,candidate_pass,1.0,-0.36330308620355856,0.36330308620355856,0.0,decreasing,C,72.581,100000,40000,2,0.654,568.082212,0.24483228817945946,0.46588688393257915,0.7107191721120386,increasing,2,151,1,40000,pass,0.5,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed2-settle2,candidate_pass,1.0,-1.4766152603600426,1.4766152603600426,0.0,decreasing,C,72.581,100000,40000,2,0.654,674.741429,0.32818608628081425,0.20627959040668073,0.534465676687495,increasing,2,151,2,40000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed3-settle2,candidate_pass,1.0,-0.4445338814612063,0.4445338814612063,0.0,decreasing,C,72.581,100000,40000,4,0.654,478.278079,0.12790581868726603,0.7019167111424865,0.8298225298297526,increasing,2,151,3,40000,pass,1.0,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeC-pscale2-Emax72.581-mu0.654-seed4-settle2,candidate_pass,1.0,-1.2201100734726593,1.2201100734726593,0.0,decreasing,C,72.581,100000,40000,2,0.654,559.111611,0.38902927208516036,0.21869690851780602,0.6077261806029663,increasing,2,151,4,40000,pass,0.05,2e-10,50.0,2,pass
