artifact,diamond_size_case,particle_count_scale,particle_count_total,seed_index,e_al_emax_gpa,mu_scale,al_radius_um,diamond_ds_radius_um,diamond_dl_radius_um,diamond_count_ds,diamond_count_dl,al_area_fraction,diamond_area_fraction,p95_mpa
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,E,2,129,2,75.454,0.693,9.19238816,12.7279,0.0,60,0,0.399853936,0.600146064,520.090432
dia60al40-dem-artifacts-sizeE-pscale2-Emax79.426-mu0.693-seed2,E,2,129,2,79.426,0.693,9.19238816,12.7279,0.0,60,0,0.399853936,0.600146064,536.198533
dia60al40-dem-artifacts-sizeE-pscale2-Emax87.368-mu0.693-seed2,E,2,129,2,87.368,0.693,9.19238816,12.7279,0.0,60,0,0.399853936,0.600146064,543.689453
