artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,candidate_pass,1.0,-0.9423744710599662,0.9423744710599662,0.0,decreasing,E,75.454,2,0.693,520.090432,0.0324583760328252,0.7055073846129474,0.7379657606457726,increasing,2,129,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,candidate_pass,1.0,-0.9423744710599662,0.9423744710599662,0.0,decreasing,E,75.454,2,0.693,520.090432,0.03728978456365084,0.7055073846129474,0.7427971691765982,increasing,2,129,2,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,E,75.454,3,0.693,520.090432,0.0324583760328252,0.7055073846129474,0.7379657606457726,increasing,2,129,2,review,0.05,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,E,75.454,3,0.693,520.090432,0.03728978456365084,0.7055073846129474,0.7427971691765982,increasing,2,129,2,review,0.1,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_d1_decrease,0.8333333333333334,0.0,0.0,0.0,flat,E,75.454,4,0.693,520.090432,0.0324583760328252,0.7055073846129474,0.7379657606457726,increasing,2,129,2,review,0.05,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_d1_decrease,0.8333333333333334,0.0,0.0,0.0,flat,E,75.454,4,0.693,520.090432,0.03728978456365084,0.7055073846129474,0.7427971691765982,increasing,2,129,2,review,0.1,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_d1_decrease,0.8333333333333334,0.9157274504151259,0.0,0.9157274504151259,increasing,E,75.454,2,0.693,520.090432,0.9809750440791769,0.0,0.9809750440791769,increasing,2,129,2,review,2.0,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_d1_decrease,0.8333333333333334,0.7354804538293528,0.0,0.7354804538293528,increasing,E,75.454,3,0.693,520.090432,0.9809750440791769,0.0,0.9809750440791769,increasing,2,129,2,review,2.0,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_d1_decrease,0.6666666666666666,0.5076695027010033,0.0,0.5076695027010033,increasing,E,75.454,4,0.693,520.090432,0.9809750440791769,0.0,0.9809750440791769,increasing,2,129,2,review,2.0,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,75.454,2,0.693,520.090432,-0.21880244705302754,0.9999136978922772,0.7811112508392497,decreasing,2,129,2,review,0.25,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax75.454-mu0.693-seed2,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,75.454,3,0.693,520.090432,-0.21880244705302754,0.9999136978922772,0.7811112508392497,decreasing,2,129,2,review,0.25,0,pass
