x_um,y_um,contact_factor,electrical_contact_factor,thermal_contact_factor,sigma_s_m,k_w_mk
0.0,0.0,0.685317221631269,0.685317221631269,0.05062401877622427,68563.19044096376,24.04992150209794
5.0,0.0,1.0,1.0,0.08234928387646383,100000.0,26.587942710117105
10.0,0.0,1.0,1.0,0.1179852172833997,100000.0,29.438817382671978
15.0,0.0,1.0,1.0,0.15097794002752507,100000.0,32.07823520220201
20.0,0.0,1.0,1.0,0.17662078939003523,100000.0,34.12966315120282
25.0,0.0,1.0,1.0,0.1950711092163383,100000.0,35.60568873730706
30.0,0.0,1.0,1.0,0.20992396194733232,100000.0,36.793916955786585
35.0,0.0,1.0,1.0,0.22364624321929555,100000.0,37.891699457543645
40.0,0.0,1.0,1.0,0.23505799350948928,100000.0,38.80463948075914
45.0,0.0,1.0,1.0,0.24124513099613393,100000.0,39.29961047969071
50.0,0.0,1.0,1.0,0.24064351990853008,100000.0,39.25148159268241
55.0,0.0,1.0,1.0,0.23379686225499272,100000.0,38.70374898039942
60.0,0.0,1.0,1.0,0.22265780513802186,100000.0,37.81262441104175
65.0,0.0,1.0,1.0,0.21043778693291057,100000.0,36.83502295463285
70.0,0.0,1.0,1.0,0.20114848923566356,100000.0,36.09187913885309
75.0,0.0,1.0,1.0,0.19766517713479403,100000.0,35.813214170783525
80.0,0.0,1.0,1.0,0.2000388719046369,100000.0,36.00310975237095
85.0,0.0,1.0,1.0,0.2059205785219927,100000.0,36.473646281759414
90.0,0.0,1.0,1.0,0.21203137258685706,100000.0,36.96250980694856
95.0,0.0,1.0,1.0,0.21522362804204492,100000.0,37.2178902433636
100.0,0.0,1.0,1.0,0.2137659529751098,100000.0,37.101276238008786
105.0,0.0,1.0,1.0,0.2088391267715836,100000.0,36.70713014172669
110.0,0.0,1.0,1.0,0.20379351001802568,100000.0,36.30348080144205
115.0,0.0,1.0,1.0,0.200463367543281,100000.0,36.03706940346248
120.0,0.0,1.0,1.0,0.19654131162959662,100000.0,35.72330493036773
125.0,0.0,1.0,1.0,0.18766572804505757,100000.0,35.013258243604604
130.0,0.0,1.0,1.0,0.17172335118003662,100000.0,33.73786809440293
135.0,0.0,1.0,1.0,0.15005574359541476,100000.0,32.004459487633184
140.0,0.0,0.7707126911962844,0.7707126911962844,0.12502061236168652,77094.1978505088,30.00164898893492
145.0,0.0,0.4089778002978593,0.4089778002978593,0.09810849010324553,40956.88224975614,27.848679208259643
150.0,0.0,0.18597327062118926,0.18597327062118926,0.07078454481925603,18678.729735056808,25.662763585540482
155.0,0.0,0.07233046784482378,0.07233046784482378,0.04568932198645381,7325.813737697895,23.655145758916305
