scenario_id,model,edge_id,i,j,x_um,y_um,z_um,normal_force_n,contact_radius_um,clean_resistance_ohm,source,film_resistance_ohm,resistance_ohm,included_in_transport,delta_v_fixed_voltage,abs_current_a_fixed_voltage,joule_power_w_fixed_voltage,delta_v_fixed_current,abs_current_a_fixed_current,joule_power_w_fixed_current,electric_field_v_m,exceeds_4e8_v_m,exceeds_5e8_v_m,is_shortest_path_edge,joule_rank
clean,clean,0,44,17,64.5421,13.6718,3.67623,1.5863159000000004e-07,0.04860860566423625,0.27258547779634584,liggghts_pair_gran_local,inf,0.27258547779634584,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,32
clean,clean,1,18,93,150.873,20.1285,-22.8998,0.0028599508900000003,1.2745869364875182,0.010395524715257235,liggghts_pair_gran_local,inf,0.010395524715257235,True,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,33
clean,clean,2,18,59,148.383,12.3775,-2.68812,0.00419758634,1.4484932767164465,0.00914743631398559,liggghts_pair_gran_local,inf,0.00914743631398559,True,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,34
clean,clean,3,20,62,281.998,22.9253,-28.7842,3.67690701e-05,0.29859153171085334,0.04437500261337245,liggghts_pair_gran_local,inf,0.04437500261337245,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,35
clean,clean,4,45,81,308.919,12.1886,-20.0559,0.007953806360000001,1.7924275437680532,0.007392209546247967,liggghts_pair_gran_local,inf,0.007392209546247967,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,36
clean,clean,5,38,78,383.639,25.1791,-28.5752,1.9810899200000001e-07,0.0523461405823624,0.25312276803200423,liggghts_pair_gran_local,inf,0.25312276803200423,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,37
clean,clean,6,92,89,224.56,44.5354,-32.8005,0.016893747400000002,2.3040501966404205,0.005750742765639427,liggghts_pair_gran_local,inf,0.005750742765639427,True,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,38
clean,clean,7,92,58,208.733,59.7592,-32.4349,0.0034924240300000004,1.3623611809383727,0.009725761556765447,liggghts_pair_gran_local,inf,0.009725761556765447,True,4.163336342344337e-17,4.280730427169718e-15,1.7822120559214886e-31,6.110316175651994e-18,6.282609479975919e-16,3.838873033080142e-33,nan,False,False,False,30
clean,clean,8,62,63,289.175,45.8424,-32.0868,1.9508542400000003e-05,0.24172684204441133,0.05481393745079266,liggghts_pair_gran_local,inf,0.05481393745079266,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,39
clean,clean,9,61,83,21.9302,81.9558,-16.2518,5.066593200000001e-06,0.1542251790355088,0.08591333842413189,liggghts_pair_gran_local,inf,0.08591333842413189,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,False,False,40
