stage_id,i,j,x_um,y_um,normal_force_n,source,raw_weight,normalized_amplitude
stage5_rho095,47,75,335.086,37.1232,0.22576214700000002,liggghts_pair_gran_local,0.8997421588318034,0.16342946433735348
stage5_rho095,26,57,345.323,16.1043,0.528562249,liggghts_pair_gran_local,1.3767040120921539,0.2500649736580435
stage5_rho095,57,69,358.393,16.1018,0.21749299500000002,liggghts_pair_gran_local,0.8831106944887941,0.16040851963442562
stage5_rho095,57,13,359.798,29.5527,0.602107092,liggghts_pair_gran_local,1.4693639434433943,0.26689575434073465
stage5_rho095,57,75,345.62,34.804,0.030163291300000002,liggghts_pair_gran_local,0.32887576504190924,0.059737103109763386
stage5_rho095,69,13,370.045,20.0804,0.281083462,liggghts_pair_gran_local,1.0039455387677416,0.18235700085201806
stage5_rho095,69,59,377.722,9.43015,0.125326865,liggghts_pair_gran_local,0.6703700378239473,0.12176623615328418
stage5_rho095,13,59,384.873,20.8975,0.375321353,liggghts_pair_gran_local,1.1600965729539237,0.21072032652512582
stage5_rho095,13,75,353.474,44.3427,0.0119725614,liggghts_pair_gran_local,0.20719823123378417,0.037635555486418656
stage5_rho095,13,32,385.694,62.0596,0.113092045,liggghts_pair_gran_local,0.6368080369845064,0.11567002318222454
stage5_rho095,13,8,365.537,61.4332,1.17584193,liggghts_pair_gran_local,2.05336889374442,0.3729746073334413
stage5_rho095,36,72,10.3845,62.6554,0.29575086,liggghts_pair_gran_local,1.029806231089232,0.18705434558796075
stage5_rho095,72,74,9.15123,83.8898,0.17501237300000003,liggghts_pair_gran_local,0.7921854909620357,0.14389283548949622
stage5_rho095,72,15,19.8175,77.2733,0.42570608800000004,liggghts_pair_gran_local,1.2355133367073738,0.2244190525226782
stage5_rho095,50,15,57.5144,71.6233,0.133444178,liggghts_pair_gran_local,0.6917390969860849,0.12564771915147524
stage5_rho095,50,31,71.0278,74.7583,0.14658558800000002,liggghts_pair_gran_local,0.7250002293221394,0.13168928226772728
stage5_rho095,67,10,118.807,62.6241,0.194719895,liggghts_pair_gran_local,0.83559853630686,0.1517783954538862
stage5_rho095,10,31,86.533,84.3352,0.309122542,liggghts_pair_gran_local,1.0528290151551039,0.19123621172650562
stage5_rho095,10,39,103.829,102.079,0.7093055330000001,liggghts_pair_gran_local,1.5948108477355467,0.28968197166977977
stage5_rho095,10,1,128.947,93.5492,1.1218958900000002,liggghts_pair_gran_local,2.0057129830946994,0.36431837190694444
stage5_rho095,71,37,210.725,76.1942,0.0375437864,liggghts_pair_gran_local,0.3669116845665519,0.06664596015561075
stage5_rho095,71,1,189.5,85.9569,0.189722806,liggghts_pair_gran_local,0.8248068837005317,0.14981819609293046
stage5_rho095,71,48,204.594,85.1624,0.352704779,liggghts_pair_gran_local,1.1246002593423767,0.2042727643401796
stage5_rho095,70,37,219.863,65.7274,0.3716906380000001,liggghts_pair_gran_local,1.1544717719208628,0.2096986357987172
stage5_rho095,70,2,229.31,55.1663,0.100356493,liggghts_pair_gran_local,0.5998811914480053,0.10896261870366357
stage5_rho095,37,2,233.974,69.0968,0.155451055,liggghts_pair_gran_local,0.7466023354778138,0.13561309599916818
stage5_rho095,37,48,216.842,83.9825,0.20223009800000002,liggghts_pair_gran_local,0.8515602942732363,0.15467769446829974
stage5_rho095,37,24,231.784,81.3388,0.20462078900000003,liggghts_pair_gran_local,0.8565789244869721,0.1555892801259097
stage5_rho095,2,28,303.902,46.2336,0.18720672,liggghts_pair_gran_local,0.8193193736277327,0.148821442942108
stage5_rho095,2,30,301.204,60.8688,0.535130522,liggghts_pair_gran_local,1.385231530602412,0.25161391495036645
stage5_rho095,2,24,247.191,78.5834,1.01760469,liggghts_pair_gran_local,1.910214147262593,0.3469719316721709
stage5_rho095,2,27,262.745,87.0397,0.4411133080000001,liggghts_pair_gran_local,1.2576725652106757,0.22844406214224033
stage5_rho095,2,64,290.084,79.6499,0.31915979800000005,liggghts_pair_gran_local,1.0697852311696612,0.1943161444308323
stage5_rho095,28,30,314.411,54.2869,0.349742072,liggghts_pair_gran_local,1.1198669984419218,0.20341301325934258
stage5_rho095,28,75,328.477,45.3674,0.0382256043,liggghts_pair_gran_local,0.3702283633044043,0.06724840278229625
stage5_rho095,30,8,321.198,71.7305,0.7704554630000001,liggghts_pair_gran_local,1.6621349312550724,0.30191074054383693
stage5_rho095,75,8,342.297,58.3512,0.28152834200000004,liggghts_pair_gran_local,1.0047397133907376,0.18250125499411035
stage5_rho095,32,8,379.551,78.8364,0.36808302100000007,liggghts_pair_gran_local,1.14885547844505,0.20867849038783062
stage5_rho095,74,22,10.013,104.135,0.47423207600000006,liggghts_pair_gran_local,1.3040311625425114,0.2368646531471232
stage5_rho095,74,15,19.7879,91.6206,0.594809922,liggghts_pair_gran_local,1.460432904749214,0.2652735175082835
stage5_rho095,22,58,11.2917,122.398,0.5012404930000001,liggghts_pair_gran_local,1.3406505214855322,0.24351620565879553
stage5_rho095,15,31,62.3633,85.4242,0.11078127600000001,liggghts_pair_gran_local,0.6302686256599407,0.11448220233892538
stage5_rho095,15,11,55.6618,102.262,1.0978968100000002,liggghts_pair_gran_local,1.984144369052098,0.36040064169403746
stage5_rho095,31,11,73.7435,97.2199,0.28887122400000004,liggghts_pair_gran_local,1.0177582887776875,0.18486595334801112
stage5_rho095,11,39,91.0398,114.964,0.8780535230000001,liggghts_pair_gran_local,1.7744060194365356,0.3223036982617361
stage5_rho095,11,52,78.0377,139.182,0.48130732200000004,liggghts_pair_gran_local,1.3137228127505352,0.23862504770738124
stage5_rho095,11,73,90.9072,130.574,0.21818816200000002,liggghts_pair_gran_local,0.8845208999968828,0.16066466983093497
stage5_rho095,11,3,58.98,138.746,1.0550784,liggghts_pair_gran_local,1.9450683775448936,0.35330286562809765
stage5_rho095,39,25,109.009,117.567,0.522103258,liggghts_pair_gran_local,1.368266546728288,0.24853238964911814
stage5_rho095,39,73,101.328,124.785,0.06154312000000001,liggghts_pair_gran_local,0.4697667367339251,0.0853285859669091
stage5_rho095,25,1,128.082,119.713,0.5636846190000001,liggghts_pair_gran_local,1.4217086295075438,0.2582396273015432
stage5_rho095,25,73,108.907,129.6,0.24985563900000002,liggghts_pair_gran_local,0.9465358880809106,0.17192909284810146
stage5_rho095,25,53,122.118,131.922,0.17935018100000003,liggghts_pair_gran_local,0.8019428448876389,0.14566516449482117
stage5_rho095,1,48,198.676,97.6394,0.010267640400000002,liggghts_pair_gran_local,0.19187917047828043,0.034852996206686866
stage5_rho095,1,53,136.379,134.023,0.813256681,liggghts_pair_gran_local,1.7076793512511506,0.31018344410724297
stage5_rho095,1,20,161.752,148.438,0.28053425000000004,liggghts_pair_gran_local,1.0029642492015163,0.18217875908953773
stage5_rho095,1,7,185.489,141.676,3.6091171600000003,liggghts_pair_gran_local,3.5974353461366686,0.6534393501919741
stage5_rho095,48,14,218.831,101.034,0.4596289620000001,liggghts_pair_gran_local,1.2837965388308752,0.23318922938065856
stage5_rho095,24,14,238.215,97.6045,1.1095803000000002,liggghts_pair_gran_local,1.9946737664449825,0.36231320493098584
stage5_rho095,24,27,250.965,93.3007,0.0848342803,liggghts_pair_gran_local,0.5515415015418622,0.10018218138609691
stage5_rho095,14,27,251.666,104.918,0.500026025,liggghts_pair_gran_local,1.339025388825095,0.2432210160230034
stage5_rho095,14,4,252.689,130.477,0.274735975,liggghts_pair_gran_local,0.992545153065958,0.180286231009577
stage5_rho095,14,7,224.139,137.172,1.8624672800000002,liggghts_pair_gran_local,2.5842637346029718,0.4694065224207915
stage5_rho095,27,54,271.367,101.532,0.277240246,liggghts_pair_gran_local,0.9970585108949456,0.18110603882353107
stage5_rho095,64,54,289.593,96.6052,0.166788717,liggghts_pair_gran_local,0.7733495571828349,0.14047147022655748
stage5_rho095,64,43,300.171,100.106,0.14654282200000002,liggghts_pair_gran_local,0.7248944630527695,0.13167007084745713
stage5_rho095,64,8,310.077,90.5117,0.21249048,liggghts_pair_gran_local,0.8728954827115711,0.15855302517697822
stage5_rho095,54,43,291.978,107.626,0.16389999500000002,liggghts_pair_gran_local,0.7666232342251352,0.13924969869218348
stage5_rho095,54,4,281.889,116.611,0.153744555,liggghts_pair_gran_local,0.7424930265082759,0.13486667975414057
stage5_rho095,43,8,313.656,107.043,0.5457911230000001,liggghts_pair_gran_local,1.3989614305463574,0.2541078185328748
stage5_rho095,43,4,297.756,121.863,0.592810558,liggghts_pair_gran_local,1.4579763259911755,0.2648273037273821
stage5_rho095,8,23,379.603,109.361,0.4834323380000001,liggghts_pair_gran_local,1.31661972213641,0.23915124328966014
stage5_rho095,8,5,352.686,132.652,1.5002376600000003,liggghts_pair_gran_local,2.319383369403628,0.421293564977276
stage5_rho095,23,40,390.406,124.57,0.278878469,liggghts_pair_gran_local,1.0,0.18164033188079692
stage5_rho095,58,3,18.2782,141.296,0.545191867,liggghts_pair_gran_local,1.3981932188288684,0.2539682803015554
stage5_rho095,52,21,90.4707,154.064,0.35048698400000006,liggghts_pair_gran_local,1.1210589606262964,0.20362952166610174
stage5_rho095,52,73,91.306,143.453,0.07117272200000001,liggghts_pair_gran_local,0.5051836601015506,0.09176172768160136
stage5_rho095,52,3,70.5532,155.255,0.42834183900000006,liggghts_pair_gran_local,1.239332263075943,0.2251127235756934
stage5_rho095,52,19,83.5201,161.576,0.09774171549999999,liggghts_pair_gran_local,0.5920146935074072,0.10753374540699372
stage5_rho095,21,73,100.391,147.428,0.23413203500000002,liggghts_pair_gran_local,0.9162688602778751,0.1664313798729128
stage5_rho095,21,76,109.038,155.715,0.37698888,liggghts_pair_gran_local,1.1626708315172092,0.211187915704908
stage5_rho095,21,19,92.605,165.551,0.297800509,liggghts_pair_gran_local,1.033368514728125,0.18770139997038282
stage5_rho095,21,16,105.743,167.732,0.44096568,liggghts_pair_gran_local,1.257462094092366,0.22840583209845924
stage5_rho095,73,76,109.873,145.104,0.06699707,liggghts_pair_gran_local,0.49014029995396297,0.08902924675179119
stage5_rho095,53,76,123.085,147.426,0.832593738,liggghts_pair_gran_local,1.727862094695906,0.3138494443248133
stage5_rho095,76,16,118.045,164.716,0.514855167,liggghts_pair_gran_local,1.3587358834342311,0.24680123680534155
stage5_rho095,20,38,154.856,167.648,0.403623767,liggghts_pair_gran_local,1.2030422310533722,0.2185209901151489
stage5_rho095,20,7,173.212,163.423,0.3985966610000001,liggghts_pair_gran_local,1.1955268531157033,0.2171558943723411
stage5_rho095,4,7,245.882,162.858,0.922021501,liggghts_pair_gran_local,1.8182895029977155,0.33027470877987436
stage5_rho095,4,45,271.843,187.745,0.5208416760000001,liggghts_pair_gran_local,1.366612444360569,0.24823193794608087
stage5_rho095,4,66,305.896,185.543,0.0127094579,liggghts_pair_gran_local,0.21347942317021615,0.03877647327435915
stage5_rho095,4,5,320.886,162.292,1.10820947,liggghts_pair_gran_local,1.9934412266722445,0.3620893259976094
stage5_rho095,40,5,382.349,143.82,0.462112582,liggghts_pair_gran_local,1.2872603839979004,0.2338184033663807
stage5_rho095,3,19,73.7547,172.486,0.48621716900000006,liggghts_pair_gran_local,1.320406496352991,0.23983907421511755
stage5_rho095,3,49,71.3158,190.324,0.0216998683,liggghts_pair_gran_local,0.27894658969593855,0.05066795112938677
stage5_rho095,19,49,84.0285,184.955,0.06445952610000001,liggghts_pair_gran_local,0.480768562500556,0.08732696125045465
stage5_rho095,19,16,96.726,177.476,0.269449063,liggghts_pair_gran_local,0.9829486851264538,0.17854312538816203
stage5_rho095,49,16,94.6168,192.904,0.016083123900000003,liggghts_pair_gran_local,0.24014730157842895,0.043620435558983664
stage5_rho095,16,38,137.317,178.482,0.405486981,liggghts_pair_gran_local,1.2058157845748956,0.21902477929728756
stage5_rho095,38,51,155.384,185.258,0.004790031690000001,liggghts_pair_gran_local,0.13105744606316405,0.02380531799836276
stage5_rho095,51,7,174.004,189.838,0.0019184833100000002,liggghts_pair_gran_local,0.08294143021102038,0.015065508910197698
stage5_rho095,7,34,237.587,192.448,0.46573972300000005,liggghts_pair_gran_local,1.2923023899264066,0.23473423499657953
stage5_rho095,34,45,257.659,199.176,0.279522368,liggghts_pair_gran_local,1.0011537781281266,0.18184990452290664
stage5_rho095,66,5,324.662,189.654,0.007102469280000001,liggghts_pair_gran_local,0.15958688185739736,0.028987414184399186
stage5_rho095,5,17,383.682,192.876,0.9973189040000001,liggghts_pair_gran_local,1.8910783940834799,0.34349610711392775
