x_um,y_um,contact_factor,sigma_s_m,k_w_mk
0.0,0.0,0.06583546643930664,7517.711177491357,25.26683731514453
5.0,0.0,0.10736288185974334,11628.925304114591,28.58903054877947
10.0,0.0,0.15420457069805676,16266.252499107619,32.336365655844546
15.0,0.0,0.1977478574040665,20577.037883002584,35.81982859232532
20.0,0.0,0.23163557952571748,23931.92237304603,38.5308463620574
25.0,0.0,0.2558376343357953,26327.925799243738,40.46701074686362
30.0,0.0,0.2750764446050312,28232.56801589809,42.0061155684025
35.0,0.0,0.2930623289169428,30013.170562777337,43.44498631335542
40.0,0.0,0.3089736105423558,31588.387443693224,44.717888843388465
45.0,0.0,0.31929618370515567,32610.322186810412,45.54369469641245
50.0,0.0,0.3213168291184333,32810.3660827249,45.705346329474665
55.0,0.0,0.31432230203991185,32117.907901951272,45.14578416319295
60.0,0.0,0.299613540261368,30661.74048587543,43.96908322090944
65.0,0.0,0.28123465134339964,28842.230482996565,42.49877210747197
70.0,0.0,0.265543620044266,27288.818384382335,41.24348960354128
75.0,0.0,0.2579324321762408,26535.310785447837,40.63459457409927
80.0,0.0,0.2594903645382168,26689.54608928346,40.75922916305734
85.0,0.0,0.2669120536208708,27424.293308466207,41.352964289669664
90.0,0.0,0.2747653137277507,28201.76605904732,41.98122509822006
95.0,0.0,0.27784058161544656,28506.21757992921,42.22724652923573
100.0,0.0,0.2734950711727281,28076.01204610008,41.87960569381825
105.0,0.0,0.2635616903415814,27092.60734381656,41.08493522732651
110.0,0.0,0.2530766814826873,26054.59146678604,40.24613451861498
115.0,0.0,0.2453745707206591,25292.082501345252,39.62996565765273
120.0,0.0,0.23855337062682802,24616.783692055975,39.08426965014624
125.0,0.0,0.2277073946270894,23543.032068081848,38.216591570167154
130.0,0.0,0.20995283617675356,21785.330781498604,36.79622689414029
135.0,0.0,0.18596607995698822,19410.641915741835,34.87728639655906
140.0,0.0,0.15744005969019229,16586.565909329038,32.59520477521538
145.0,0.0,0.12537595451730343,13412.21949721304,30.030076361384275
150.0,0.0,0.09147345221693341,10055.871769476407,27.317876177354673
155.0,0.0,0.059486002813132,6889.114278500068,24.75888022505056
160.0,0.0,0.033766090010280705,4342.842911017789,22.701287200822456
165.0,0.0,0.01662601123192186,2645.9751119602643,21.33008089855375
