stage_id,i,j,nx,ny,gap_um,overlap_um,force_x,force_y,normal_force,contact_point_x_um,contact_point_y_um,source,force_unit
stage5_rho095,35,2,0.926145218,0.377167119,-3.14049165,3.14076,-28160.7,-10069.7,29878.8302,233.041,37.5229,liggghts_pair_gran_local,dyne
stage5_rho095,42,2,0.0727625552,0.997349292,-7.04555891,7.04554,-3922.62,-100369,100388.088,264.526,17.7175,liggghts_pair_gran_local,dyne
stage5_rho095,18,56,0.72277715,0.691081175,-3.74417746,3.7447,-9168.43,-14411.2,16586.095,298.806,16.7414,liggghts_pair_gran_local,dyne
stage5_rho095,18,2,-0.490171295,0.871626125,-3.47818682,3.47783,11533.8,-33457.2,34815.6297,284.817,19.6243,liggghts_pair_gran_local,dyne
stage5_rho095,61,56,-0.590185848,0.807267406,-6.71793821,6.71775,23249.5,-32369.7,39852.5659,312.539,16.6488,liggghts_pair_gran_local,dyne
stage5_rho095,61,47,0.504274556,0.863543382,-3.7938429,3.79411,-8483.39,-14634.5,16915.4897,323.828,18.4539,liggghts_pair_gran_local,dyne
stage5_rho095,61,26,0.999996183,-0.00276296728,-4.07791632,4.07765,-18858.6,-4270.92,18846.6719,329.19,8.83563,liggghts_pair_gran_local,dyne
stage5_rho095,56,47,0.987456184,0.157893273,-3.13518799,3.13535,-12710.2,-990.51,12707.1934,318.138,26.2368,liggghts_pair_gran_local,dyne
stage5_rho095,56,2,-0.828848192,0.559473569,-3.89710205,3.89713,30514.1,-28609.9,41298.0566,296.881,31.1598,liggghts_pair_gran_local,dyne
stage5_rho095,56,28,0.42220757,0.906499182,-3.82844112,3.82847,-3722.77,-17180.4,17145.8646,311.529,34.4809,liggghts_pair_gran_local,dyne
stage5_rho095,47,26,0.486927143,-0.87344259,-3.97617127,3.97586,-10182,15098.3,18145.4081,334.789,18.4236,liggghts_pair_gran_local,dyne
stage5_rho095,47,57,0.976606903,-0.215032457,-4.42837283,4.4278,-19454.1,10820.4,21325.6258,339.96,25.7226,liggghts_pair_gran_local,dyne
stage5_rho095,47,28,-0.625455366,0.780259947,-4.86819634,4.86831,15320.6,-19229,24586.0095,322.818,36.286,liggghts_pair_gran_local,dyne
stage5_rho095,47,75,0.528866497,0.84870503,-4.59951413,4.59925,-6878.19,-22314.8,22576.2147,335.086,37.1232,liggghts_pair_gran_local,dyne
stage5_rho095,26,57,0.57812101,0.815951039,-8.10928193,8.10931,-32744.1,-41578.7,52856.2249,345.323,16.1043,liggghts_pair_gran_local,dyne
stage5_rho095,57,69,0.734356228,-0.678764267,-4.48591815,4.48625,-11569.5,19525.3,21749.2995,358.393,16.1018,liggghts_pair_gran_local,dyne
stage5_rho095,57,13,0.834244229,0.551395109,-5.25869562,5.25926,-41001.6,-47162.5,60210.7092,359.798,29.5527,liggghts_pair_gran_local,dyne
stage5_rho095,57,75,-0.393136071,0.919480304,-1.20197019,1.202,372.838,-3121.06,3016.32913,345.62,34.804,liggghts_pair_gran_local,dyne
stage5_rho095,69,13,0.315678077,0.948866351,-3.16489776,3.16494,-3109.97,-28588.4,28108.3462,370.045,20.0804,liggghts_pair_gran_local,dyne
stage5_rho095,69,59,0.998484929,0.0550258763,-3.10731595,3.10658,-12310,-4386.83,12532.6865,377.722,9.43015,liggghts_pair_gran_local,dyne
stage5_rho095,13,59,0.36719846,-0.930142619,-3.83809624,3.83776,-9377.65,36649,37532.1353,384.873,20.8975,liggghts_pair_gran_local,dyne
stage5_rho095,13,75,-0.989470863,0.144732202,-0.385480728,0.386011,1152.51,-392.964,1197.25614,353.474,44.3427,liggghts_pair_gran_local,dyne
stage5_rho095,13,32,0.381092976,0.924536719,-1.72514358,1.7249,-4186.35,-10506.7,11309.2045,385.694,62.0596,liggghts_pair_gran_local,dyne
stage5_rho095,13,8,-0.48668938,0.873575095,-1.3158926,1.31621,48225.8,-107734,117584.193,365.537,61.4332,liggghts_pair_gran_local,dyne
stage5_rho095,36,72,-0.11813105,0.992998014,-5.50640412,5.50643,3426.05,-29376,29575.086,10.3845,62.6554,liggghts_pair_gran_local,dyne
stage5_rho095,72,74,-0.00206476432,0.999997868,-3.88125285,3.8812,-2559.82,-17506.6,17501.2373,9.15123,83.8898,liggghts_pair_gran_local,dyne
stage5_rho095,72,15,0.922830275,0.385206805,-4.17399634,4.17397,-39664.5,-15490.5,42570.6088,19.8175,77.2733,liggghts_pair_gran_local,dyne
stage5_rho095,50,15,-0.793275796,0.608862474,-1.92606965,1.92608,10666.5,-8019.72,13344.4178,57.5144,71.6233,liggghts_pair_gran_local,dyne
stage5_rho095,50,31,0.331478421,0.943462801,-3.44860743,3.44863,-7768.02,-12807.7,14658.5588,71.0278,74.7583,liggghts_pair_gran_local,dyne
stage5_rho095,67,10,-0.471142317,0.882057207,-2.4775226,2.47789,6585.74,-18557.9,19471.9895,118.807,62.6241,liggghts_pair_gran_local,dyne
stage5_rho095,10,31,-0.995957523,0.089825457,-3.37256185,3.37206,29961.2,-11936,30912.2542,86.533,84.3352,liggghts_pair_gran_local,dyne
stage5_rho095,10,39,-0.219248581,0.975669032,-5.86638911,5.8663,36280,-64546.1,70930.5533,103.829,102.079,liggghts_pair_gran_local,dyne
stage5_rho095,10,1,0.879890767,0.475176008,-1.27529273,1.27564,-101996,-47233.4,112189.589,128.947,93.5492,liggghts_pair_gran_local,dyne
stage5_rho095,71,37,0.995392695,-0.0958821278,-1.39061707,1.39084,-3842.97,-739.222,3754.37864,210.725,76.1942,liggghts_pair_gran_local,dyne
stage5_rho095,71,1,-0.722800086,0.691057187,-2.31959637,2.32027,14907.1,-11862.1,18972.2806,189.5,85.9569,liggghts_pair_gran_local,dyne
stage5_rho095,71,48,0.617701811,0.786412407,-6.19270821,6.19242,-28383.2,-22555.5,35270.4779,204.594,85.1624,liggghts_pair_gran_local,dyne
stage5_rho095,70,37,0.317497165,0.948259221,-6.41242353,6.4127,-18631.3,-32959.3,37169.0638,219.863,65.7274,liggghts_pair_gran_local,dyne
stage5_rho095,70,2,0.994891397,-0.100951021,-1.51710291,1.51759,-9798.56,2844.35,10035.6493,229.31,55.1663,liggghts_pair_gran_local,dyne
stage5_rho095,37,2,0.880681019,-0.473709767,-2.03185142,2.03168,-15889,3276.1,15545.1055,233.974,69.0968,liggghts_pair_gran_local,dyne
stage5_rho095,37,48,-0.564332577,0.825547541,-4.27344991,4.27382,6470.82,-20072.9,20223.0098,216.842,83.9825,liggghts_pair_gran_local,dyne
stage5_rho095,37,24,0.812402572,0.583096956,-4.30755269,4.30745,-13056,-16901.7,20462.0789,231.784,81.3388,liggghts_pair_gran_local,dyne
stage5_rho095,2,28,0.990557519,-0.13709778,-2.29970592,2.2997,-19069.9,-1234.28,18720.672,303.902,46.2336,liggghts_pair_gran_local,dyne
stage5_rho095,2,30,0.963389377,0.268106151,-4.63182148,4.63196,-50281.6,-18919.2,53513.0522,301.204,60.8688,liggghts_pair_gran_local,dyne
stage5_rho095,2,24,-0.587720465,0.809064061,-7.10961152,7.10959,43328.5,-94300.9,101760.469,247.191,78.5834,liggghts_pair_gran_local,dyne
stage5_rho095,2,27,-0.117781088,0.993039584,-4.07210189,4.07216,14922.4,-42650.6,44111.3308,262.745,87.0397,liggghts_pair_gran_local,dyne
stage5_rho095,2,64,0.632337776,0.774692802,-3.2823665,3.28194,-15082.7,-28887.2,31915.9798,290.084,79.6499,liggghts_pair_gran_local,dyne
stage5_rho095,28,30,-0.181279797,0.983431561,-6.1577448,6.1577,-3735.55,-36252.1,34974.2072,314.411,54.2869,liggghts_pair_gran_local,dyne
stage5_rho095,28,75,0.997679388,0.0680869928,-1.40793135,1.40763,-3736.48,-1391.56,3822.56043,328.477,45.3674,liggghts_pair_gran_local,dyne
stage5_rho095,30,8,0.745003693,0.66706034,-5.90626879,5.90595,-54017.1,-55171.3,77045.5463,321.198,71.7305,liggghts_pair_gran_local,dyne
stage5_rho095,75,8,0.126741988,0.991935718,-3.01860017,3.01861,-9089.32,-27220.3,28152.8342,342.297,58.3512,liggghts_pair_gran_local,dyne
stage5_rho095,32,8,-0.898190751,0.439605931,-3.60938814,3.60929,34347.5,-13552.3,36808.3021,379.551,78.8364,liggghts_pair_gran_local,dyne
stage5_rho095,74,22,0.095861689,0.995394664,-7.54320023,7.54363,4884.94,-48113,47423.2076,10.013,104.135,liggghts_pair_gran_local,dyne
stage5_rho095,74,15,0.954541596,-0.298077744,-5.21668105,5.21668,-53914.9,26895.6,59480.9922,19.7879,91.6206,liggghts_pair_gran_local,dyne
stage5_rho095,22,58,0.043363194,0.999059374,-7.82790686,7.8274,-13709.5,-49576.2,50124.0493,11.2917,122.398,liggghts_pair_gran_local,dyne
stage5_rho095,15,31,0.999997508,-0.00223237759,-1.70131204,1.70132,-11085.5,-3290.93,11078.1276,62.3633,85.4242,liggghts_pair_gran_local,dyne
stage5_rho095,15,11,0.694313551,0.719672629,-1.35003911,1.35016,-68337.5,-86625.6,109789.681,55.6618,102.262,liggghts_pair_gran_local,dyne
stage5_rho095,31,11,-0.0861207548,0.996284706,-3.22300855,3.22313,11107.7,-28034.7,28887.1224,73.7435,97.2199,liggghts_pair_gran_local,dyne
stage5_rho095,11,39,0.97808186,-0.208220738,-6.76285808,6.76326,-82086.9,36104.1,87805.3523,91.0398,114.964,liggghts_pair_gran_local,dyne
stage5_rho095,11,52,0.293476141,0.955966398,-4.5302395,4.52992,-5098.31,-48782.6,48130.7322,78.0377,139.182,liggghts_pair_gran_local,dyne
stage5_rho095,11,73,0.855593185,0.517648821,-2.67363961,2.67319,-20219.5,-8730.23,21818.8162,90.9072,130.574,liggghts_pair_gran_local,dyne
stage5_rho095,11,3,-0.547158904,0.837028753,-1.2243444,1.22447,50174.8,-93251.5,105507.84,58.98,138.746,liggghts_pair_gran_local,dyne
stage5_rho095,39,25,0.844032769,0.536291605,-8.0433512,8.04311,-47686.7,-22303.4,52210.3258,109.009,117.567,liggghts_pair_gran_local,dyne
stage5_rho095,39,73,-0.00851828641,0.999963719,-1.93412686,1.93363,1879.83,-6138.57,6154.312,101.328,124.785,liggghts_pair_gran_local,dyne
stage5_rho095,25,1,0.974088617,-0.226166679,-4.79587585,4.7953,-56267,6895.29,56368.4619,128.082,119.713,liggghts_pair_gran_local,dyne
stage5_rho095,25,73,-0.728730409,0.684800694,-4.92087416,4.92091,20069.7,-15128.8,24985.5639,108.907,129.6,liggghts_pair_gran_local,dyne
stage5_rho095,25,53,0.501602732,0.865098086,-3.94469749,3.94506,-11489.4,-14069.9,17935.0181,122.118,131.922,liggghts_pair_gran_local,dyne
stage5_rho095,1,48,0.931791157,-0.362994821,-0.33176978,0.331975,-933.851,431.44,1026.76404,198.676,97.6394,liggghts_pair_gran_local,dyne
stage5_rho095,1,53,-0.761124458,0.648605859,-6.12314026,6.1227,63253.9,-51158.2,81325.6681,136.379,134.023,liggghts_pair_gran_local,dyne
stage5_rho095,1,20,-0.0222094829,0.999753339,-3.01191655,3.0115,-4510.76,-28160.6,28053.425,161.752,148.438,liggghts_pair_gran_local,dyne
stage5_rho095,1,7,0.607489949,0.794327364,-2.53866921,2.53898,-190666,-308543,360911.716,185.489,141.676,liggghts_pair_gran_local,dyne
stage5_rho095,48,14,0.708633903,0.705576354,-4.39218955,4.39285,-22846.2,-42196.9,45962.8962,218.831,101.034,liggghts_pair_gran_local,dyne
stage5_rho095,24,14,-0.232926013,0.972494459,-7.9049242,7.90524,36720.3,-105301,110958.03,238.215,97.6045,liggghts_pair_gran_local,dyne
stage5_rho095,24,27,0.878545442,0.477658777,-2.39507416,2.39497,-6447.75,-5901.27,8483.42803,250.965,93.3007,liggghts_pair_gran_local,dyne
stage5_rho095,14,27,0.850450389,-0.52605526,-4.64655485,4.64662,-34650,39035.2,50002.6025,251.666,104.918,liggghts_pair_gran_local,dyne
stage5_rho095,14,4,0.792560936,0.609792721,-0.500073848,0.499308,-23404.6,-14634.4,27473.5975,252.689,130.477,liggghts_pair_gran_local,dyne
stage5_rho095,14,7,-0.415099839,0.909775864,-1.78822007,1.78848,71928.6,-171899,186246.728,224.139,137.172,liggghts_pair_gran_local,dyne
stage5_rho095,27,54,0.968179451,0.25025697,-5.27450331,5.27421,-26175.3,-9516.68,27724.0246,271.367,101.532,liggghts_pair_gran_local,dyne
stage5_rho095,64,54,-0.7367012,0.676218413,-3.75896115,3.75864,9404.94,-14418.8,16678.8717,289.593,96.6052,liggghts_pair_gran_local,dyne
stage5_rho095,64,43,0.211553294,0.977366463,-3.44776312,3.44796,-3113.23,-14319.7,14654.2822,300.171,100.106,liggghts_pair_gran_local,dyne
stage5_rho095,64,8,0.993333799,0.11527343,-2.50203663,2.50237,-21374.4,-148.591,21249.048,310.077,90.5117,liggghts_pair_gran_local,dyne
stage5_rho095,54,43,0.949354259,0.31420772,-3.71537885,3.71512,-14404.3,-8641.84,16389.9995,291.978,107.626,liggghts_pair_gran_local,dyne
stage5_rho095,54,4,0.0390931286,0.999235571,-2.01679141,2.01678,-2366.12,-15293.7,15374.4555,281.889,116.611,liggghts_pair_gran_local,dyne
