% x_um y_um sigma_s_m k_w_mk
0 0 6946.3190441 24.0499215021
5 0 11078.6750152 26.5879427101
10 0 15459.0099248 29.4388173827
15 0 19010.5830066 32.0782352022
20 0 20969.7064903 34.1296631512
25 0 21420.7866162 35.6056887373
30 0 21152.5443381 36.7939169558
35 0 20945.8360541 37.8916994575
40 0 21061.1832155 38.8046394808
45 0 21366.2476281 39.2996104797
50 0 21683.4480978 39.2514815927
55 0 21846.7599791 38.7037489804
60 0 21628.6043906 37.812624411
65 0 20885.352372 36.8350229546
70 0 19753.6764454 36.0918791389
75 0 18579.7707139 35.8132141708
80 0 17712.3239706 36.0031097524
85 0 17415.2649135 36.4736462818
90 0 17811.6949973 36.9625098069
95 0 18771.4681844 37.2178902434
100 0 19977.286582 37.101276238
105 0 21217.5077216 36.7071301417
110 0 22451.9546402 36.3034808014
115 0 23421.5231419 36.0370694035
120 0 23365.350316 35.7233049304
125 0 21447.6182818 35.0132582436
130 0 17556.2457953 33.7378680944
135 0 12570.5094372 32.0044594876
140 0 7799.41978505 30.0016489889
145 0 4185.68822498 27.8486792083
150 0 1957.87297351 25.6627635855
155 0 822.58137377 23.6551457589
160 0 340.013225473 22.0652663178
165 0 168.117803543 21.0144465249
170 0 117.307133133 20.461022011
175 0 108.103049931 20.2881022081
180 0 121.396716077 20.4151329677
185 0 177.919969434 20.8355468053
190 0 348.768015409 21.5673514615
195 0 780.959246112 22.5742297639
200 0 1699.53884746 23.7408649607
205 0 3328.04610683 24.9342621852
210 0 5701.03340319 26.0728034977
215 0 8461.38238522 27.0986400053
220 0 10860.2420868 27.8924629673
225 0 12109.9092959 28.2976249229
230 0 11908.2818024 28.2943292191
235 0 10665.4434281 28.1176997331
240 0 9153.58929593 28.1263184716
245 0 7885.66174395 28.5244196511
250 0 6830.0414373 29.2086615401
255 0 5683.16981189 29.8451862172
260 0 4322.02534757 30.0727838064
265 0 2966.37780952 29.7118680053
270 0 2004.88265575 28.8927422733
275 0 1770.90606602 28.0016213042
280 0 2457.91077603 27.4413401317
285 0 4117.21719943 27.4001576144
290 0 6644.94764956 27.8279889522
295 0 9799.14770632 28.5928535639
300 0 13315.5314029 29.6330741831
305 0 17049.0945012 30.9851484414
310 0 20980.0009805 32.6992878742
315 0 25031.693689 34.7114854473
320 0 28843.6104897 36.7491587071
325 0 31737.9014085 38.3575549707
330 0 33005.0678404 39.0913554368
335 0 32330.0750697 38.7699836449
340 0 29988.1444518 37.589520733
