x_um,y_um,contact_factor,electrical_contact_factor,thermal_contact_factor,sigma_s_m,k_w_mk
0.0,0.0,0.06853172216312689,0.06853172216312689,0.05062401877622427,6946.319044096376,24.04992150209794
5.0,0.0,0.10989664679873593,0.10989664679873593,0.08234928387646383,11078.67501519372,26.587942710117105
10.0,0.0,0.1537438430911334,0.1537438430911334,0.1179852172833997,15459.009924804226,29.438817382671978
15.0,0.0,0.1892951251913035,0.1892951251913035,0.15097794002752507,19010.58300661122,32.07823520220201
20.0,0.0,0.2089059708741106,0.2089059708741106,0.17662078939003523,20969.70649032365,34.12966315120282
25.0,0.0,0.21342128744914765,0.21342128744914765,0.1950711092163383,21420.78661616985,35.60568873730706
30.0,0.0,0.2107361795608157,0.2107361795608157,0.20992396194733232,21152.544338125488,36.793916955786585
35.0,0.0,0.20866702756860364,0.20866702756860364,0.22364624321929555,20945.836054103504,37.891699457543645
40.0,0.0,0.20982165380867823,0.20982165380867823,0.23505799350948928,21061.183215486955,38.80463948075914
45.0,0.0,0.2128753516324077,0.2128753516324077,0.24124513099613393,21366.24762807753,39.29961047969071
50.0,0.0,0.216050531509518,0.216050531509518,0.24064351990853008,21683.448097800847,39.25148159268241
55.0,0.0,0.21768528507632376,0.21768528507632376,0.23379686225499272,21846.759979124745,38.70374898039942
60.0,0.0,0.21550154545158007,0.21550154545158007,0.22265780513802186,21628.604390612847,37.81262441104175
65.0,0.0,0.20806158530488,0.20806158530488,0.21043778693291057,20885.352371957513,36.83502295463285
70.0,0.0,0.1967334979523007,0.1967334979523007,0.20114848923566356,19753.676445434838,36.09187913885309
75.0,0.0,0.1849826898286631,0.1849826898286631,0.19766517713479403,18579.77071388344,35.813214170783525
80.0,0.0,0.17629953924554867,0.17629953924554867,0.2000388719046369,17712.323970630314,36.00310975237095
85.0,0.0,0.17332597511021686,0.17332597511021686,0.2059205785219927,17415.264913510666,36.473646281759414
90.0,0.0,0.17729424421740717,0.17729424421740717,0.21203137258685706,17811.694997318977,36.96250980694856
95.0,0.0,0.1869015834276145,0.1869015834276145,0.21522362804204492,18771.46818441869,37.2178902433636
100.0,0.0,0.1989718376574431,0.1989718376574431,0.2137659529751098,19977.286581978566,37.101276238008786
