artifact,diamond_size_case,particle_count_scale,particle_count_total,seed_index,e_al_emax_gpa,mu_scale,al_radius_um,diamond_ds_radius_um,diamond_dl_radius_um,diamond_count_ds,diamond_count_dl,al_area_fraction,diamond_area_fraction,p95_mpa
dia60al40-dem-artifacts-sizeE-pscale2-Emax57.506-mu0.693-seed2,E,2,129,2,57.506,0.693,9.19238816,12.7279,0.0,60,0,0.399853936,0.600146064,457.388196
dia60al40-dem-artifacts-sizeE-pscale2-Emax60.533-mu0.693-seed2,E,2,129,2,60.533,0.693,9.19238816,12.7279,0.0,60,0,0.399853936,0.600146064,466.034964
dia60al40-dem-artifacts-sizeE-pscale2-Emax63.559-mu0.693-seed2,E,2,129,2,63.559,0.693,9.19238816,12.7279,0.0,60,0,0.399853936,0.600146064,480.140041
