stage_id,target_rho_total,actual_rho_total,current_height_um,particle_id,type,shape,material,x_um,y_um,z_um,r_um,rotation_rad,vx_cm_s,vy_cm_s,vz_cm_s,contact_count
pilot_final,0.485828742,0.485828742,105,35,1,Al,Al,37.8055,49.2569,24.364,13,0.0,-5.99007,35.3962,-24.6662,0
pilot_final,0.485828742,0.485828742,105,31,1,Al,Al,85.088,44.8074,29.9239,13,0.0,-45.7143,12.6398,-14.423,0
pilot_final,0.485828742,0.485828742,105,48,1,Al,Al,128.836,28.5113,32.411,13,0.0,0.00066464,-0.000189487,0.000282051,3
pilot_final,0.485828742,0.485828742,105,75,1,Al,Al,150.116,39.3568,22.1385,13,0.0,0.00845085,0.13721,0.160819,1
pilot_final,0.485828742,0.485828742,105,70,1,Al,Al,170.197,26.2701,32.2139,13,0.0,0.000173432,-9.43512e-05,7.58451e-05,4
pilot_final,0.485828742,0.485828742,105,41,1,Al,Al,194.158,34.5031,32.2537,13,0.0,9.67159e-05,-0.000116153,5.46377e-05,5
pilot_final,0.485828742,0.485828742,105,46,1,Al,Al,174.707,51.5721,32.2356,13,0.0,-0.000236166,0.00010979,0.000112106,5
pilot_final,0.485828742,0.485828742,105,13,2,DS,Diamond,224.349,36.303,27.032,18,0.0,0.000241998,-7.34736e-05,8.94468e-05,5
pilot_final,0.485828742,0.485828742,105,1,2,DL,Diamond,277.909,29.8463,15.1803,30,0.0,-2.71813e-07,-1.14458e-06,8.42786e-07,6
pilot_final,0.485828742,0.485828742,105,87,1,Al,Al,331.357,36.4217,28.4226,13,0.0,25.5108,-32.4075,4.2901,0
pilot_final,0.485828742,0.485828742,105,57,1,Al,Al,362.97,29.3529,29.452,13,0.0,9.41474,-20.1582,-7.32154,0
pilot_final,0.485828742,0.485828742,105,55,1,Al,Al,387.001,39.0126,31.74,13,0.0,-0.615698,0.225118,-2.84099,0
pilot_final,0.485828742,0.485828742,105,76,1,Al,Al,14.4438,70.9819,31.9407,13,0.0,4.20401,19.7402,-0.270075,0
pilot_final,0.485828742,0.485828742,105,68,1,Al,Al,40.0689,77.5772,31.8977,13,0.0,-13.0865,-44.0257,-1.39573,0
pilot_final,0.485828742,0.485828742,105,29,1,Al,Al,101.129,65.9592,31.6605,13,0.0,-9.25317,-4.32137,9.71786,0
