artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,liggghts_commit,min_chain_length,mu_al_al,mu_al_diamond,mu_al_tool,mu_al_wall,mu_diamond_diamond,mu_diamond_tool,mu_diamond_wall,mu_scale,mu_wall_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.9449639018740763,0.0,0.9449639018740763,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.24956398850033135,0.9522324378261307,0.7026684493257993,decreasing,2,129,0,20000,review,1.25,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,1.2850815845771868,0.0,1.2850815845771868,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.2789480824353848,0.996726440206119,0.7177783577707342,decreasing,2,129,0,20000,review,1.5,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.8800584864223133,0.0,0.8800584864223133,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.2789480824353848,0.996726440206119,0.7177783577707342,decreasing,2,129,0,20000,review,1.5,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,1.367610369817921,0.0,1.367610369817921,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.21950364582763782,0.996726440206119,0.7772227943784812,decreasing,2,129,0,20000,review,2.0,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,1.0,0.9220063672448977,0.0,0.9220063672448977,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.21950364582763782,0.996726440206119,0.7772227943784812,decreasing,2,129,0,20000,review,2.0,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,0.8333333333333334,0.8800584864223133,0.0,0.8800584864223133,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.2789480824353848,0.996726440206119,0.7177783577707342,decreasing,2,129,0,20000,review,1.5,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed0-settle1-vel50,needs_physics_calibration,0.6666666666666666,0.64693592660029,0.0,0.64693592660029,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,702.232074,-0.21950364582763782,0.996726440206119,0.7772227943784812,decreasing,2,129,0,20000,review,2.0,2e-10,50.0,0,review
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,candidate_pass,1.0,-0.9611726963370467,0.9611726963370467,0.0,decreasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,0.14570709415728833,0.520785713486807,0.6664928076440954,increasing,2,129,1,20000,pass,0.05,2e-10,50.0,2,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,0.14570709415728833,0.520785713486807,0.6664928076440954,increasing,2,129,1,20000,review,0.05,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_d1_decrease,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,0.14570709415728833,0.520785713486807,0.6664928076440954,increasing,2,129,1,20000,review,0.05,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_participation_increase,1.0,-0.7739585818364145,0.7739585818364145,0.0,decreasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.13827670845968953,0.8109152552611899,0.6726385468015004,decreasing,2,129,1,20000,review,0.1,2e-10,50.0,1,pass
