artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,min_chain_length,mu_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,seed_index,status,threshold_factor,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.693-seed0,candidate_pass,1.0,-1.0442150247500337,1.0442150247500337,0.0,decreasing,E,36.471,2,0.693,498.32732,0.19249997230472654,0.47838077264734663,0.6708807449520732,increasing,0,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.693-seed1,needs_participation_increase,1.0,-0.9254496364861736,0.9254496364861736,0.0,decreasing,E,36.471,2,0.693,568.412139,-0.14033548335370694,0.8651186251241428,0.7247831417704359,decreasing,1,review,0.25,1,review
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.693-seed2,candidate_pass,1.0,-0.7600010494897412,0.7600010494897412,0.0,decreasing,E,36.471,2,0.693,562.171058,0.05819526954468446,0.6338735983954531,0.6920688679401376,increasing,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.77-seed0,candidate_pass,1.0,-0.3182777034736284,0.3182777034736284,0.0,decreasing,E,36.471,2,0.77,635.947642,0.1059166790659356,0.676483366012603,0.7824000450785386,increasing,0,pass,0.75,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.77-seed1,candidate_pass,1.0,-0.9550010463713663,0.9550010463713663,0.0,decreasing,E,36.471,2,0.77,638.609717,0.17037541154516495,0.49912517990326416,0.6695005914484291,increasing,1,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax36.471-mu0.77-seed2,candidate_pass,1.0,-0.9628574689339516,0.9628574689339516,0.0,decreasing,E,36.471,2,0.77,623.451297,0.02037059502825922,0.686099549015908,0.7064701440441672,increasing,2,pass,0.1,2,review
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.693-seed0,candidate_pass,1.0,-1.0442150247500337,1.0442150247500337,0.0,decreasing,E,37.517,2,0.693,540.412871,0.14557284113731822,0.47838077264734663,0.6239536137846649,increasing,0,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.693-seed1,needs_participation_increase,1.0,-0.9254496364861736,0.9254496364861736,0.0,decreasing,E,37.517,2,0.693,575.259508,-0.12971656569085976,0.8651186251241428,0.7354020594332831,decreasing,1,review,0.25,1,review
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.693-seed2,candidate_pass,1.0,-0.7600010494897412,0.7600010494897412,0.0,decreasing,E,37.517,2,0.693,604.217336,0.11872776083164682,0.6338735983954531,0.7526013592270999,increasing,2,pass,0.05,2,pass
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.77-seed0,candidate_pass,1.0,-0.3182777034736284,0.3182777034736284,0.0,decreasing,E,37.517,2,0.77,655.388854,0.0627872524339873,0.676483366012603,0.7392706184465903,increasing,0,pass,0.75,2,pass
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.77-seed1,candidate_pass,1.0,-0.9550010463713663,0.9550010463713663,0.0,decreasing,E,37.517,2,0.77,652.614774,0.15425719108432073,0.49912517990326416,0.6533823709875849,increasing,1,pass,0.1,2,pass
dia60al40-dem-artifacts-sizeE-Emax37.517-mu0.77-seed2,needs_participation_increase,1.0,-0.9628574689339516,0.9628574689339516,0.0,decreasing,E,37.517,2,0.77,655.189811,-0.008340231404413867,0.686099549015908,0.6777593176114941,decreasing,2,review,0.1,1,review
